season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3
2012-13,2013-02-27,1255009,14,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,0,4,-4,1488,Maryland,2314,1114,13,Nick Faust with a turnover - Traveling,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Maryland,Georgia Tech,5,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Robert Carter,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,17,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,0,4,-4,1422,Georgia Tech,2303,1103,11,Robert Carter misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,696318,Robert Carter,NA,0,Georgia Tech,Georgia Tech,6,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Robert Carter,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,18,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,0,4,-4,1422,Georgia Tech,2303,1103,0,Daniel Miller with an offensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Georgia Tech,Georgia Tech,6,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Robert Carter,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,20,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,2,4,-2,1422,Georgia Tech,2302,1102,1,Daniel Miller dunks.,made,FALSE,FALSE,Dunk Shot,26,6.25,502810,Daniel Miller,NA,0,Georgia Tech,Maryland,6,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Robert Carter,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,30,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,2,4,-2,1488,Maryland,2285,1085,17,Dez Wells with a turnover - Lost Ball,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Maryland,Georgia Tech,7,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Robert Carter,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,37,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,2,4,-2,1422,Georgia Tech,2270,1070,15,Alex Len steals the ball from Daniel Miller.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Georgia Tech,Maryland,8,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Robert Carter,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,38,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,2,4,-2,1488,Maryland,2263,1063,7,Nick Faust misses a 3-point jump shot from 23 feet out.,missed,FALSE,TRUE,Jump Shot,42.6,20.15,616981,Nick Faust,NA,0,Maryland,Maryland,9,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Robert Carter,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,39,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,2,4,-2,1422,Georgia Tech,2263,1063,0,Robert Carter with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Maryland,Georgia Tech,9,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Robert Carter,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,40,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,2,4,-2,1422,Georgia Tech,2248,1048,15,Chris Bolden misses a jump shot from 10 feet out.,missed,FALSE,FALSE,Jump Shot,29.7,13.950000000000003,696319,Chris Bolden,NA,0,Georgia Tech,Georgia Tech,10,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Robert Carter,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,41,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,2,4,-2,1488,Maryland,2248,1048,0,Nick Faust with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Georgia Tech,Maryland,10,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Robert Carter,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,42,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,2,4,-2,1488,Maryland,2240,1040,8,Shaquille Cleare misses a jump shot from 11 feet out.,missed,FALSE,FALSE,Jump Shot,14.7,7.75,698667,Shaquille Cleare,NA,0,Maryland,Maryland,11,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Robert Carter,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,43,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,2,4,-2,1422,Georgia Tech,2240,1040,0,Daniel Miller with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Maryland,Georgia Tech,11,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Robert Carter,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,44,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,2,4,-2,1422,Georgia Tech,2229,1029,11,Alex Len steals the ball from Daniel Miller.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Georgia Tech,Maryland,12,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Robert Carter,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,45,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,2,6,-4,1488,Maryland,2215,1015,14,Alex Len makes a jump shot from 17 feet out. Dez Wells with the assist.,made,FALSE,FALSE,Jump Shot,9.9,12.15,616982,Alex Len,Dez Wells,0,Maryland,Georgia Tech,13,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Robert Carter,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,46,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,4,6,-2,1422,Georgia Tech,2199,999,16,Chris Bolden makes a layup. Marcus Georges-Hunt with the assist.,made,FALSE,FALSE,Layup Shot,26,6.25,696319,Chris Bolden,Marcus Georges-Hunt,0,Georgia Tech,Maryland,14,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Robert Carter,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,71,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,4,6,-2,1422,Georgia Tech,2183,983,16,Substitution: Kammeon Holsey in for Robert Carter.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Daniel Miller,Mfon Udofia,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,72,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,4,6,-2,1422,Georgia Tech,2183,983,0,Substitution: Solomon Poole in for Mfon Udofia.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Daniel Miller,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,73,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,4,6,-2,1488,Maryland,2183,983,0,Substitution: Seth Allen in for Jake Layman.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Player leaving not previously in game,Daniel Miller,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,75,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,4,8,-4,1488,Maryland,2174,974,9,Nick Faust makes a layup.,made,FALSE,FALSE,Layup Shot,25,5.25,616981,Nick Faust,NA,0,Maryland,Georgia Tech,15,NA,Daniel Miller,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,78,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,4,8,-4,1488,Maryland,2167,967,7,Personal foul committed by Shaquille Cleare.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Georgia Tech,Georgia Tech,16,NA,Daniel Miller,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,92,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,4,8,-4,1422,Georgia Tech,2157,957,10,Seth Allen steals the ball from Solomon Poole.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Georgia Tech,Maryland,16,NA,Daniel Miller,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,104,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,4,8,-4,1488,Maryland,2143,943,14,Daniel Miller steals the ball from Nick Faust.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Maryland,Georgia Tech,17,NA,Daniel Miller,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,105,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,6,8,-2,1422,Georgia Tech,2134,934,9,Kammeon Holsey makes a hook shot from 8 feet out. Chris Bolden with the assist.,made,FALSE,FALSE,Hook Shot,26,13.25,502809,Kammeon Holsey,Chris Bolden,0,Georgia Tech,Maryland,18,NA,Daniel Miller,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,113,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,6,8,-2,1488,Maryland,2112,912,22,Kammeon Holsey steals the ball from Nick Faust.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Maryland,Georgia Tech,19,NA,Daniel Miller,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,114,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,8,0,1422,Georgia Tech,2108,908,4,Chris Bolden makes a layup. Kammeon Holsey with the assist.,made,FALSE,FALSE,Layup Shot,25,5.25,696319,Chris Bolden,Kammeon Holsey,0,Georgia Tech,Maryland,20,NA,Daniel Miller,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,142,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,8,0,1488,Maryland,2081,881,27,Daniel Miller blocks a Alex Len jump shot from 7 feet out.,missed,FALSE,FALSE,Jump Shot,30.2,9.55,616982,Alex Len,NA,0,Maryland,Maryland,21,NA,Daniel Miller,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,143,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,8,0,1488,Maryland,2081,881,0,Alex Len with an offensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Maryland,Maryland,21,NA,Daniel Miller,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,146,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,8,0,1488,Maryland,2078,878,3,Alex Len misses a jump shot from 18 feet out.,missed,FALSE,FALSE,Jump Shot,33.8,20.45,616982,Alex Len,NA,0,Maryland,Georgia Tech,21,NA,Daniel Miller,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,149,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,8,0,NA,NA,2076,876,2,Official TV timeout.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Daniel Miller,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,150,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,8,0,1422,Georgia Tech,2076,876,0,Substitution: Robert Carter in for Daniel Miller.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Robert Carter,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Alex Len
2012-13,2013-02-27,1255009,151,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,8,0,1488,Maryland,2076,876,0,Substitution: Charles Mitchell in for Alex Len.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Robert Carter,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Nick Faust,Charles Mitchell
2012-13,2013-02-27,1255009,152,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,8,0,1488,Maryland,2076,876,0,Substitution: Pe'Shon Howard in for Nick Faust.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Robert Carter,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Pe'Shon Howard,Charles Mitchell
2012-13,2013-02-27,1255009,153,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,8,0,1488,Maryland,2076,876,0,Substitution: James Padgett in for Shaquille Cleare.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Player leaving not previously in game,Robert Carter,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Pe'Shon Howard,Charles Mitchell
2012-13,2013-02-27,1255009,175,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,8,0,1422,Georgia Tech,2053,853,23,James Padgett steals the ball from Kammeon Holsey.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Georgia Tech,Maryland,22,NA,Robert Carter,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Pe'Shon Howard,Charles Mitchell
2012-13,2013-02-27,1255009,178,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,10,-2,1488,Maryland,2027,827,26,Seth Allen makes a layup.,made,FALSE,FALSE,Layup Shot,25,5.25,698663,Seth Allen,NA,0,Maryland,Georgia Tech,23,NA,Robert Carter,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Pe'Shon Howard,Charles Mitchell
2012-13,2013-02-27,1255009,187,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,10,-2,1422,Georgia Tech,2003,803,24,Chris Bolden misses a jump shot from 17 feet out.,missed,FALSE,FALSE,Jump Shot,25.1,22.349999999999994,696319,Chris Bolden,NA,0,Georgia Tech,Maryland,24,NA,Robert Carter,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Pe'Shon Howard,Charles Mitchell
2012-13,2013-02-27,1255009,189,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,10,-2,1422,Georgia Tech,2003,803,0,Personal foul committed by Kammeon Holsey.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Maryland,Maryland,25,NA,Robert Carter,Solomon Poole,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Pe'Shon Howard,Charles Mitchell
2012-13,2013-02-27,1255009,190,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,10,-2,1422,Georgia Tech,2003,803,0,Substitution: Mfon Udofia in for Solomon Poole.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Robert Carter,Mfon Udofia,Marcus Georges-Hunt,Kammeon Holsey,Chris Bolden,Dez Wells,Pe'Shon Howard,Charles Mitchell
2012-13,2013-02-27,1255009,191,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,10,-2,1422,Georgia Tech,2003,803,0,Substitution: Jason Morris in for Marcus Georges-Hunt.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Robert Carter,Mfon Udofia,Jason Morris,Kammeon Holsey,Chris Bolden,Dez Wells,Pe'Shon Howard,Charles Mitchell
2012-13,2013-02-27,1255009,192,0,1,Georgia Tech,Maryland,Yellow Jackets,Terrapins,4,4,8,10,-2,1422,Georgia Tech,2003,803,0,Substitution: Daniel Miller in for Kammeon Holsey.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Robert Carter,Mfon Udofia,Jason Morris,Daniel Miller,Chris Bolden,Dez Wells,Pe'Shon Howard,Charles Mitchell
