season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number
2012-13,2012-11-29,1253848,1,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,0,0,0,1620,Saint Louis,NA,NA,NA,Starting Lineup - Jake Barnett,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-11-29,1253848,1,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,0,0,0,1685,Washington,NA,NA,NA,Starting Lineup - Abdul Gaddy,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-11-29,1253848,1,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,0,0,0,1685,Washington,NA,NA,NA,Starting Lineup - C.J. Wilcox,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-11-29,1253848,1,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,0,0,0,1620,Saint Louis,NA,NA,NA,Starting Lineup - Cory Remekun,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-11-29,1253848,1,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,0,0,0,1685,Washington,NA,NA,NA,Starting Lineup - Aziz N'Diaye,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-11-29,1253848,1,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,0,0,0,1620,Saint Louis,NA,NA,NA,Starting Lineup - Mike McCall Jr.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-11-29,1253848,1,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,0,0,0,1620,Saint Louis,NA,NA,NA,Starting Lineup - Rob Loe,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-11-29,1253848,1,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,0,0,0,1620,Saint Louis,NA,NA,NA,Starting Lineup - Dwayne Evans,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-11-29,1253848,1,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,0,0,0,1685,Washington,NA,NA,NA,Starting Lineup - Andrew Andrews,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-11-29,1253848,1,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,0,0,0,1685,Washington,NA,NA,NA,Starting Lineup - Jernard Jarreau,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-11-29,1253848,2,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,Washington,1
2012-13,2012-11-29,1253848,8,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,0,0,0,1685,Washington,2381,1181,19,Jernard Jarreau misses a jump shot from 19 feet out.,missed,FALSE,FALSE,Jump Shot,24.6,24.349999999999994,607541,Jernard Jarreau,NA,0,Washington,Washington,1
2012-13,2012-11-29,1253848,12,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,3,0,3,1685,Washington,2362,1162,19,Abdul Gaddy makes a 3-point jump shot from 22 feet out.,made,FALSE,TRUE,Jump Shot,6.200000000000003,16.349999999999994,509348,Abdul Gaddy,NA,0,Washington,Saint Louis,1
2012-13,2012-11-29,1253848,21,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,3,0,3,1620,Saint Louis,2329,1129,33,Personal foul committed by Jake Barnett.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Washington,Washington,2
2012-13,2012-11-29,1253848,24,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,3,0,3,1685,Washington,2319,1119,10,Jernard Jarreau misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,607541,Jernard Jarreau,NA,0,Washington,Saint Louis,2
2012-13,2012-11-29,1253848,26,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,3,2,1,1620,Saint Louis,2302,1102,17,Dwayne Evans makes a layup.,made,FALSE,FALSE,Layup Shot,25,5.25,551796,Dwayne Evans,NA,0,Saint Louis,Washington,3
2012-13,2012-11-29,1253848,27,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,3,2,1,1685,Washington,2288,1088,14,Aziz N'Diaye misses a layup.,missed,FALSE,FALSE,Layup Shot,26,6.25,550048,Aziz N'Diaye,NA,0,Washington,Washington,4
2012-13,2012-11-29,1253848,31,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,3,2,1,1685,Washington,2285,1085,3,Jernard Jarreau misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,607541,Jernard Jarreau,NA,0,Washington,Saint Louis,4
2012-13,2012-11-29,1253848,34,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,3,2,1,1620,Saint Louis,2257,1057,28,Dwayne Evans misses a jump shot from 19 feet out.,missed,FALSE,FALSE,Jump Shot,16.4,21.85,551796,Dwayne Evans,NA,0,Saint Louis,Washington,5
2012-13,2012-11-29,1253848,35,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,5,2,3,1685,Washington,2246,1046,11,Jernard Jarreau makes a jump shot from 18 feet out.,made,FALSE,FALSE,Jump Shot,16.9,21.150000000000006,607541,Jernard Jarreau,NA,0,Washington,Washington,6
2012-13,2012-11-29,1253848,43,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,5,2,3,1620,Saint Louis,2211,1011,35,Shooting foul committed by Cory Remekun.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Washington,Washington,6
2012-13,2012-11-29,1253848,44,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,6,2,4,1685,Washington,2211,1011,0,CJ Wilcox makes free throw 1 of 2.,made,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Washington,Washington,6
2012-13,2012-11-29,1253848,45,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,6,2,4,1685,Washington,2211,1011,0,CJ Wilcox misses free throw 2 of 2.,missed,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Washington,Saint Louis,6
2012-13,2012-11-29,1253848,49,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,6,5,1,1620,Saint Louis,2194,994,17,Mike McCall makes a 3-point jump shot from 22 feet out.,made,FALSE,TRUE,Jump Shot,5.399999999999999,15.85,551794,Mike McCall,NA,0,Saint Louis,Washington,7
2012-13,2012-11-29,1253848,54,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,6,5,1,1620,Saint Louis,2176,976,18,Shooting foul committed by John Manning.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Washington,Washington,8
2012-13,2012-11-29,1253848,55,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,6,5,1,1685,Washington,2176,976,0,Aziz N'Diaye misses free throw 1 of 2.,missed,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Washington,Washington,8
2012-13,2012-11-29,1253848,56,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,6,5,1,1685,Washington,2176,976,0,Aziz N'Diaye misses free throw 2 of 2.,missed,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Washington,Saint Louis,8
2012-13,2012-11-29,1253848,60,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,6,5,1,1685,Washington,2162,962,14,Personal foul committed by Jernard Jarreau.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Saint Louis,Saint Louis,9
2012-13,2012-11-29,1253848,64,0,1,Washington,Saint Louis,Huskies,Billikens,4,4,6,5,1,NA,NA,2142,942,20,Official TV timeout.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
