season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number
2009-10,2009-12-01,911807,1,0,1,Indiana,Maryland,Hoosiers,Terrapins,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,Maryland,NA
2009-10,2009-12-01,911807,3,0,1,Indiana,Maryland,Hoosiers,Terrapins,4,4,0,2,-2,1488,Maryland,2393,1193,7, makes a layup.,made,FALSE,FALSE,Layup Shot,25,5.25,332666,NA,NA,0,Maryland,Indiana,1
2009-10,2009-12-01,911807,6,0,1,Indiana,Maryland,Hoosiers,Terrapins,4,4,0,2,-2,1488,Maryland,2372,1172,21,Personal foul committed by Terrapins.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Indiana,Indiana,2
2009-10,2009-12-01,911807,7,0,1,Indiana,Maryland,Hoosiers,Terrapins,4,4,0,2,-2,1446,Indiana,2372,1172,0, misses free throw 1 of 2.,missed,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Indiana,Indiana,2
2009-10,2009-12-01,911807,8,0,1,Indiana,Maryland,Hoosiers,Terrapins,4,4,1,2,-1,1446,Indiana,2372,1172,0, makes free throw 2 of 2.,made,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Indiana,Maryland,2
2009-10,2009-12-01,911807,10,0,1,Indiana,Maryland,Hoosiers,Terrapins,4,4,1,2,-1,1488,Maryland,2363,1163,9, misses a jump shot from 7 feet out.,missed,FALSE,FALSE,Jump Shot,22.2,11.45,332666,NA,NA,0,Maryland,Maryland,3
2009-10,2009-12-01,911807,15,0,1,Indiana,Maryland,Hoosiers,Terrapins,4,4,1,2,-1,1488,Maryland,2359,1159,4, misses a jump shot from 18 feet out.,missed,FALSE,FALSE,Jump Shot,36,19.95,332666,NA,NA,0,Maryland,Indiana,3
2009-10,2009-12-01,911807,16,0,1,Indiana,Maryland,Hoosiers,Terrapins,4,4,3,2,1,1446,Indiana,2344,1144,15, makes a layup.,made,FALSE,FALSE,Layup Shot,25,5.25,332669,NA,NA,0,Indiana,Maryland,4
2009-10,2009-12-01,911807,19,0,1,Indiana,Maryland,Hoosiers,Terrapins,4,4,3,2,1,1488,Maryland,2319,1119,25, misses a jump shot from 14 feet out.,missed,FALSE,FALSE,Jump Shot,20.8,18.45,332665,NA,NA,0,Maryland,Indiana,5
2009-10,2009-12-01,911807,20,0,1,Indiana,Maryland,Hoosiers,Terrapins,4,4,3,2,1,1446,Indiana,2312,1112,7, misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,13.799999999999997,26.75,463289,NA,NA,0,Indiana,Indiana,6
2009-10,2009-12-01,911807,21,0,1,Indiana,Maryland,Hoosiers,Terrapins,4,4,5,2,3,1446,Indiana,2307,1107,5, makes a layup.,made,FALSE,FALSE,Layup Shot,25,5.25,463292,NA,NA,0,Indiana,Maryland,6
