season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5
2016-17,2016-11-16,1692532,1,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,0,0,0,1622,Saint Mary's,NA,NA,NA,Starting Lineup - Joe Rahon,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,1,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,0,0,0,1573,Prairie View A&M,NA,NA,NA,Starting Lineup - Daquan Cook,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,1,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,0,0,0,1622,Saint Mary's,NA,NA,NA,Starting Lineup - Calvin Hermanson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,1,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,0,0,0,1622,Saint Mary's,NA,NA,NA,Starting Lineup - Emmett Naar,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,1,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,0,0,0,1622,Saint Mary's,NA,NA,NA,Starting Lineup - Jock Landale,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,1,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,0,0,0,1622,Saint Mary's,NA,NA,NA,Starting Lineup - Evan Fitzner,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,1,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,0,0,0,1573,Prairie View A&M,NA,NA,NA,Starting Lineup - Ja'Donta Blakley,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,1,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,0,0,0,1573,Prairie View A&M,NA,NA,NA,Starting Lineup - JD Wallace,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,1,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,0,0,0,1573,Prairie View A&M,NA,NA,NA,Starting Lineup - Shay'rone Jett,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,1,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,0,0,0,1573,Prairie View A&M,NA,NA,NA,Starting Lineup - James Westbrook,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,2,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,Saint Mary's,1,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,4,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,2,0,2,1622,Saint Mary's,2390,1190,10,Emmett Naar makes a jump shot from 19 feet out.,made,FALSE,FALSE,Jump Shot,35.1,21.849999999999994,820982,Emmett Naar,NA,0,Saint Mary's,Prairie View A&M,1,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,7,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,2,0,2,1573,Prairie View A&M,2379,1179,11,Ja'Donta Blakley misses a jump shot from 17 feet out.,missed,FALSE,FALSE,Jump Shot,11,14.55,959667,Ja'Donta Blakley,NA,0,Prairie View A&M,Prairie View A&M,2,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,8,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,2,0,2,1573,Prairie View A&M,2379,1179,0,J.D. Wallace with an offensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Prairie View A&M,Prairie View A&M,2,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,9,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,2,0,2,1573,Prairie View A&M,2373,1173,6,J.D. Wallace misses a jump shot from 14 feet out.,missed,FALSE,FALSE,Jump Shot,12.7,12.25,959668,J.D. Wallace,NA,0,Prairie View A&M,Prairie View A&M,2,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,10,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,2,0,2,1622,Saint Mary's,2373,1173,0,Evan Fitzner with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Prairie View A&M,Saint Mary's,2,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,11,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,2,0,2,1622,Saint Mary's,2366,1166,7,Calvin Hermanson misses a 3-point jump shot from 23 feet out.,missed,FALSE,TRUE,Jump Shot,40.7,21.849999999999994,754066,Calvin Hermanson,NA,0,Saint Mary's,Saint Mary's,3,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,12,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,2,0,2,1622,Saint Mary's,2366,1166,0,Evan Fitzner with an offensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Saint Mary's,Saint Mary's,3,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,13,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,4,0,4,1622,Saint Mary's,2359,1159,7,Jock Landale makes a layup.,made,FALSE,FALSE,Layup Shot,25,5.25,850308,Jock Landale,NA,0,Saint Mary's,Prairie View A&M,3,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
2016-17,2016-11-16,1692532,34,0,1,Saint Mary's,Prairie View A&M,Gaels,Panthers,4,4,4,2,2,1573,Prairie View A&M,2331,1131,28,J.D. Wallace makes a jump shot from 17 feet out. Daquan Cook with the assist.,made,FALSE,FALSE,Jump Shot,11.6,15.55,959668,J.D. Wallace,Daquan Cook,0,Prairie View A&M,Saint Mary's,4,NA,Joe Rahon,Calvin Hermanson,Emmett Naar,Jock Landale,Evan Fitzner,Daquan Cook,Ja'Donta Blakley,JD Wallace,Shay'rone Jett,James Westbrook
