season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4
2016-17,2016-11-11,1688847,1,0,1,Texas Tech,Houston Baptist,Red Raiders,Huskies,4,4,0,0,0,1437,Houston Baptist,NA,NA,NA,Starting Lineup - Atif Russell,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Aaron Ross,Keenan Evans,Zach Smith,Shadell Millinghaus,Anthony Livingston,Atif Russell,Reveal Chukwujekwu,Colter Lasher,Josh Ibarra
2016-17,2016-11-11,1688847,1,0,1,Texas Tech,Houston Baptist,Red Raiders,Huskies,4,4,0,0,0,1656,Texas Tech,NA,NA,NA,Starting Lineup - Aaron Ross,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Aaron Ross,Keenan Evans,Zach Smith,Shadell Millinghaus,Anthony Livingston,Atif Russell,Reveal Chukwujekwu,Colter Lasher,Josh Ibarra
2016-17,2016-11-11,1688847,1,0,1,Texas Tech,Houston Baptist,Red Raiders,Huskies,4,4,0,0,0,1437,Houston Baptist,NA,NA,NA,Starting Lineup - Reveal Chukwujekwu,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Aaron Ross,Keenan Evans,Zach Smith,Shadell Millinghaus,Anthony Livingston,Atif Russell,Reveal Chukwujekwu,Colter Lasher,Josh Ibarra
2016-17,2016-11-11,1688847,1,0,1,Texas Tech,Houston Baptist,Red Raiders,Huskies,4,4,0,0,0,1437,Houston Baptist,NA,NA,NA,Starting Lineup - Colter Lasher,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Aaron Ross,Keenan Evans,Zach Smith,Shadell Millinghaus,Anthony Livingston,Atif Russell,Reveal Chukwujekwu,Colter Lasher,Josh Ibarra
2016-17,2016-11-11,1688847,1,0,1,Texas Tech,Houston Baptist,Red Raiders,Huskies,4,4,0,0,0,1656,Texas Tech,NA,NA,NA,Starting Lineup - Keenan Evans,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Aaron Ross,Keenan Evans,Zach Smith,Shadell Millinghaus,Anthony Livingston,Atif Russell,Reveal Chukwujekwu,Colter Lasher,Josh Ibarra
2016-17,2016-11-11,1688847,1,0,1,Texas Tech,Houston Baptist,Red Raiders,Huskies,4,4,0,0,0,1656,Texas Tech,NA,NA,NA,Starting Lineup - Zach Smith,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Aaron Ross,Keenan Evans,Zach Smith,Shadell Millinghaus,Anthony Livingston,Atif Russell,Reveal Chukwujekwu,Colter Lasher,Josh Ibarra
2016-17,2016-11-11,1688847,1,0,1,Texas Tech,Houston Baptist,Red Raiders,Huskies,4,4,0,0,0,1656,Texas Tech,NA,NA,NA,Starting Lineup - Shadell Millinghaus,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Aaron Ross,Keenan Evans,Zach Smith,Shadell Millinghaus,Anthony Livingston,Atif Russell,Reveal Chukwujekwu,Colter Lasher,Josh Ibarra
2016-17,2016-11-11,1688847,1,0,1,Texas Tech,Houston Baptist,Red Raiders,Huskies,4,4,0,0,0,1437,Houston Baptist,NA,NA,NA,Starting Lineup - Josh Ibarra,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Aaron Ross,Keenan Evans,Zach Smith,Shadell Millinghaus,Anthony Livingston,Atif Russell,Reveal Chukwujekwu,Colter Lasher,Josh Ibarra
2016-17,2016-11-11,1688847,1,0,1,Texas Tech,Houston Baptist,Red Raiders,Huskies,4,4,0,0,0,1656,Texas Tech,NA,NA,NA,Starting Lineup - Anthony Livingston,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Aaron Ross,Keenan Evans,Zach Smith,Shadell Millinghaus,Anthony Livingston,Atif Russell,Reveal Chukwujekwu,Colter Lasher,Josh Ibarra
2016-17,2016-11-11,1688847,2,0,1,Texas Tech,Houston Baptist,Red Raiders,Huskies,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,Houston Baptist,1,NA,Aaron Ross,Keenan Evans,Zach Smith,Shadell Millinghaus,Anthony Livingston,Atif Russell,Reveal Chukwujekwu,Colter Lasher,Josh Ibarra
