season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,away_1,away_2,away_3,away_4,away_5
2016-17,2016-11-30,1682615,1,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,0,0,0,1446,Indiana,NA,NA,NA,Starting Lineup - Josh Newkirk,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,1,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,0,0,0,1540,North Carolina,NA,NA,NA,Starting Lineup - Nate Britt,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,1,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,0,0,0,1540,North Carolina,NA,NA,NA,Starting Lineup - Kennedy Meeks,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,1,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,0,0,0,1540,North Carolina,NA,NA,NA,Starting Lineup - Isaiah Hicks,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,1,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,0,0,0,1540,North Carolina,NA,NA,NA,Starting Lineup - Joel Berry II,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,1,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,0,0,0,1540,North Carolina,NA,NA,NA,Starting Lineup - Justin Jackson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,1,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,0,0,0,1446,Indiana,NA,NA,NA,Starting Lineup - James Blackmon Jr.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,1,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,0,0,0,1446,Indiana,NA,NA,NA,Starting Lineup - Thomas Bryant,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,1,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,0,0,0,1446,Indiana,NA,NA,NA,Starting Lineup - OG Anunoby,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,2,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,Indiana,1,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,7,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,2,0,2,1446,Indiana,2380,1180,20,OG Anunoby makes a layup. Robert Johnson with the assist.,made,FALSE,FALSE,Layup Shot,25,5.25,900535,OG Anunoby,Robert Johnson,0,Indiana,North Carolina,1,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,17,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,2,0,2,1540,North Carolina,2351,1151,29,Nate Britt misses a jump shot from 10 feet out.,missed,FALSE,FALSE,Jump Shot,25.4,15.15,792298,Nate Britt,NA,0,North Carolina,North Carolina,2,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,18,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,2,0,2,1446,Indiana,2351,1151,0,Robert Johnson with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,North Carolina,Indiana,2,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,19,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,5,0,5,1446,Indiana,2338,1138,13,Robert Johnson makes a 3-point jump shot from 23 feet out. James Blackmon Jr. with the assist.,made,FALSE,TRUE,Jump Shot,37,25.049999999999997,848888,Robert Johnson,James Blackmon Jr.,0,Indiana,North Carolina,3,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,20,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,5,2,3,1540,North Carolina,2326,1126,12,Justin Jackson makes a jump shot from 6 feet out.,made,FALSE,FALSE,Jump Shot,27.3,10.45,842955,Justin Jackson,NA,0,North Carolina,Indiana,4,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,21,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,8,2,6,1446,Indiana,2311,1111,15,James Blackmon Jr. makes a 3-point jump shot from 23 feet out. Josh Newkirk with the assist.,made,FALSE,TRUE,Jump Shot,46.9,11.150000000000006,848886,James Blackmon Jr.,Josh Newkirk,0,Indiana,North Carolina,5,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,22,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,8,2,6,1540,North Carolina,2293,1093,18,Nate Britt misses a 3-point jump shot from 23 feet out.,missed,FALSE,TRUE,Jump Shot,8.100000000000001,20.95,792298,Nate Britt,NA,0,North Carolina,North Carolina,6,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,23,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,8,2,6,1446,Indiana,2293,1093,0,Robert Johnson with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,North Carolina,Indiana,6,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,24,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,8,2,6,1446,Indiana,2284,1084,9,Josh Newkirk misses a 3-point jump shot from 23 feet out.,missed,FALSE,TRUE,Jump Shot,47.5,7.049999999999997,746346,Josh Newkirk,NA,0,Indiana,Indiana,7,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,25,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,8,2,6,1540,North Carolina,2284,1084,0,Kennedy Meeks with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Indiana,North Carolina,7,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,26,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,8,2,6,1540,North Carolina,2277,1077,7,Joel Berry II misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,842911,Joel Berry II,NA,0,North Carolina,North Carolina,8,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,27,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,8,2,6,1540,North Carolina,2277,1077,0,Joel Berry II with an offensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,North Carolina,North Carolina,8,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,28,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,8,2,6,1540,North Carolina,2272,1072,5,Joel Berry II misses a 3-point jump shot from 23 feet out.,missed,FALSE,TRUE,Jump Shot,47.7,6.15,842911,Joel Berry II,NA,0,North Carolina,North Carolina,8,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
2016-17,2016-11-30,1682615,29,0,1,Indiana,North Carolina,Hoosiers,Tar Heels,4,4,8,2,6,1446,Indiana,2272,1072,0,Robert Johnson with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,North Carolina,Indiana,8,NA,Josh Newkirk,James Blackmon Jr.,Thomas Bryant,OG Anunoby,Nate Britt,Kennedy Meeks,Isaiah Hicks,Joel Berry II,Justin Jackson
