season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number
2014-15,2014-12-23,1472948,1,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,0,0,0,1541,North Texas,NA,NA,NA,Starting Lineup - Colin Voss,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2014-15,2014-12-23,1472948,1,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,0,0,0,1541,North Texas,NA,NA,NA,Starting Lineup - T.J. Taylor,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2014-15,2014-12-23,1472948,1,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,0,0,0,1573,Prairie View A&M,NA,NA,NA,Starting Lineup - John Brisco,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2014-15,2014-12-23,1472948,1,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,0,0,0,1541,North Texas,NA,NA,NA,Starting Lineup - Jordan Williams,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2014-15,2014-12-23,1472948,1,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,0,0,0,1541,North Texas,NA,NA,NA,Starting Lineup - Maurice Aniefiok,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2014-15,2014-12-23,1472948,1,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,0,0,0,1573,Prairie View A&M,NA,NA,NA,Starting Lineup - Montrael Scott,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2014-15,2014-12-23,1472948,1,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,0,0,0,1573,Prairie View A&M,NA,NA,NA,Starting Lineup - Reggis Onwukamuche,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2014-15,2014-12-23,1472948,1,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,0,0,0,1573,Prairie View A&M,NA,NA,NA,Starting Lineup - Tre Hagood,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2014-15,2014-12-23,1472948,1,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,0,0,0,1541,North Texas,NA,NA,NA,Starting Lineup - Jeremy Combs,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2014-15,2014-12-23,1472948,1,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,0,0,0,1573,Prairie View A&M,NA,NA,NA,Starting Lineup - Zachary Hamilton,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2014-15,2014-12-23,1472948,2,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,North Texas,1
2014-15,2014-12-23,1472948,6,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,2,0,2,1541,North Texas,2376,1176,24,Maurice Aniefiok makes a jump shot from 14 feet out.,made,FALSE,FALSE,Jump Shot,38.5,8.849999999999994,609338,Maurice Aniefiok,NA,0,North Texas,Prairie View A&M,1
2014-15,2014-12-23,1472948,7,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,2,3,-1,1573,Prairie View A&M,2368,1168,8,Montrael Scott makes a 3-point jump shot from 24 feet out.,made,FALSE,TRUE,Jump Shot,9.9,24.05,624656,Montrael Scott,NA,0,Prairie View A&M,North Texas,2
2014-15,2014-12-23,1472948,10,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,4,3,1,1541,North Texas,2360,1160,8,Jeremy Combs makes a jump shot from 4 feet out.,made,FALSE,FALSE,Jump Shot,26.1,9.450000000000003,846778,Jeremy Combs,NA,0,North Texas,Prairie View A&M,3
2014-15,2014-12-23,1472948,12,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,4,3,1,1573,Prairie View A&M,2344,1144,16,John Brisco misses a jump shot from 7 feet out.,missed,FALSE,FALSE,Jump Shot,19.3,8.75,604355,John Brisco,NA,0,Prairie View A&M,North Texas,4
2014-15,2014-12-23,1472948,17,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,4,3,1,1541,North Texas,2294,1094,50,T.J. Taylor misses a jump shot from 6 feet out.,missed,FALSE,FALSE,Jump Shot,25.4,11.150000000000006,553170,T.J. Taylor,NA,0,North Texas,North Texas,5
2014-15,2014-12-23,1472948,18,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,4,3,1,1541,North Texas,2289,1089,5,Maurice Aniefiok misses a 3-point jump shot from 23 feet out.,missed,FALSE,TRUE,Jump Shot,35.3,26.049999999999997,609338,Maurice Aniefiok,NA,0,North Texas,North Texas,5
2014-15,2014-12-23,1472948,20,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,4,3,1,1541,North Texas,2283,1083,6,Jeremy Combs misses a jump shot from 5 feet out.,missed,FALSE,FALSE,Jump Shot,28.7,8.849999999999994,846778,Jeremy Combs,NA,0,North Texas,Prairie View A&M,5
2014-15,2014-12-23,1472948,21,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,4,5,-1,1573,Prairie View A&M,2276,1076,7,Tre Hagood makes a jump shot from 7 feet out.,made,FALSE,FALSE,Jump Shot,18.6,8.55,632985,Tre Hagood,NA,0,Prairie View A&M,North Texas,6
2014-15,2014-12-23,1472948,23,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,4,5,-1,1541,North Texas,2269,1069,7,T.J. Taylor misses a jump shot from 7 feet out.,missed,FALSE,FALSE,Jump Shot,24.1,12.450000000000003,553170,T.J. Taylor,NA,0,North Texas,Prairie View A&M,7
2014-15,2014-12-23,1472948,24,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,4,5,-1,1573,Prairie View A&M,2263,1063,6,Montrael Scott misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,40.4,23.05,624656,Montrael Scott,NA,0,Prairie View A&M,North Texas,8
2014-15,2014-12-23,1472948,28,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,6,5,1,1541,North Texas,2219,1019,44,Jordan Williams makes a jump shot from 5 feet out.,made,FALSE,FALSE,Jump Shot,26.4,9.549999999999997,604495,Jordan Williams,NA,0,North Texas,Prairie View A&M,9
2014-15,2014-12-23,1472948,32,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,6,7,-1,1573,Prairie View A&M,2197,997,22,Zachary Hamilton makes a jump shot from 17 feet out.,made,FALSE,FALSE,Jump Shot,13.2,16.85,853699,Zachary Hamilton,NA,0,Prairie View A&M,North Texas,10
2014-15,2014-12-23,1472948,35,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,6,7,-1,1541,North Texas,2185,985,12,Colin Voss misses a jump shot from 14 feet out.,missed,FALSE,FALSE,Jump Shot,35.1,14.549999999999997,550425,Colin Voss,NA,0,North Texas,Prairie View A&M,11
2014-15,2014-12-23,1472948,37,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,6,10,-4,1573,Prairie View A&M,2173,973,12,John Brisco makes a 3-point jump shot from 24 feet out.,made,FALSE,TRUE,Jump Shot,8.899999999999999,23.65,604355,John Brisco,NA,0,Prairie View A&M,North Texas,12
2014-15,2014-12-23,1472948,42,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,6,10,-4,1541,North Texas,2125,925,48,Jordan Williams misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,38.9,24.349999999999994,604495,Jordan Williams,NA,0,North Texas,North Texas,13
2014-15,2014-12-23,1472948,43,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,6,10,-4,1541,North Texas,2117,917,8,DeAndre Harris misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,22.5,29.150000000000006,846781,DeAndre Harris,NA,0,North Texas,Prairie View A&M,13
2014-15,2014-12-23,1472948,44,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,4,4,6,13,-7,1573,Prairie View A&M,2108,908,9,John Brisco makes a 3-point jump shot from 23 feet out.,made,FALSE,TRUE,Jump Shot,25.3,28.25,604355,John Brisco,NA,0,Prairie View A&M,North Texas,14
2014-15,2014-12-23,1472948,46,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,3,4,6,13,-7,1541,North Texas,2104,904,4,Mean Green take a full timeout.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2014-15,2014-12-23,1472948,50,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,3,4,6,13,-7,1573,Prairie View A&M,2094,894,10,Personal foul committed by Karim York.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,North Texas,North Texas,15
2014-15,2014-12-23,1472948,51,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,3,4,6,13,-7,NA,NA,2094,894,0,Official TV timeout.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2014-15,2014-12-23,1472948,54,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,3,4,8,13,-5,1541,North Texas,2076,876,18,Jeremy Combs dunks.,made,FALSE,FALSE,Dunk Shot,25,5.25,846778,Jeremy Combs,NA,0,North Texas,Prairie View A&M,15
2014-15,2014-12-23,1472948,55,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,3,4,8,13,-5,1573,Prairie View A&M,2069,869,7,Tre Hagood misses a 3-point jump shot from 22 feet out.,missed,FALSE,TRUE,Jump Shot,3.8000000000000007,10.75,632985,Tre Hagood,NA,0,Prairie View A&M,North Texas,16
2014-15,2014-12-23,1472948,58,0,1,North Texas,Prairie View A&M,Mean Green,Panthers,3,4,8,13,-5,1541,North Texas,2044,844,25,Maurice Aniefiok misses a 3-point jump shot from 23 feet out.,missed,FALSE,TRUE,Jump Shot,47.4,10.549999999999997,609338,Maurice Aniefiok,NA,0,North Texas,Prairie View A&M,17
