season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,home_6,away_1,away_2,away_3,away_4,away_5
2014-15,2014-12-06,1454864,1,0,1,South Carolina,Oklahoma State,Gamecocks,Cowboys,4,4,0,0,0,1559,Oklahoma State,NA,NA,NA,Starting Lineup - Michael Cobbins,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Laimonas Chatkevicius,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Michael Cobbins,Anthony Hickey Jr.,Le&apos'Bryan Nash,Phil Forte III,Jeffrey Carroll
2014-15,2014-12-06,1454864,1,0,1,South Carolina,Oklahoma State,Gamecocks,Cowboys,4,4,0,0,0,1611,South Carolina,NA,NA,NA,Starting Lineup - Tyrone Johnson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Laimonas Chatkevicius,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Michael Cobbins,Anthony Hickey Jr.,Le&apos'Bryan Nash,Phil Forte III,Jeffrey Carroll
2014-15,2014-12-06,1454864,1,0,1,South Carolina,Oklahoma State,Gamecocks,Cowboys,4,4,0,0,0,1559,Oklahoma State,NA,NA,NA,Starting Lineup - Anthony Hickey Jr.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Laimonas Chatkevicius,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Michael Cobbins,Anthony Hickey Jr.,Le&apos'Bryan Nash,Phil Forte III,Jeffrey Carroll
2014-15,2014-12-06,1454864,1,0,1,South Carolina,Oklahoma State,Gamecocks,Cowboys,4,4,0,0,0,1559,Oklahoma State,NA,NA,NA,Starting Lineup - Le&apos'Bryan Nash,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Laimonas Chatkevicius,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Michael Cobbins,Anthony Hickey Jr.,Le&apos'Bryan Nash,Phil Forte III,Jeffrey Carroll
2014-15,2014-12-06,1454864,1,0,1,South Carolina,Oklahoma State,Gamecocks,Cowboys,4,4,0,0,0,1559,Oklahoma State,NA,NA,NA,Starting Lineup - Phil Forte III,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Laimonas Chatkevicius,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Michael Cobbins,Anthony Hickey Jr.,Le&apos'Bryan Nash,Phil Forte III,Jeffrey Carroll
2014-15,2014-12-06,1454864,1,0,1,South Carolina,Oklahoma State,Gamecocks,Cowboys,4,4,0,0,0,1611,South Carolina,NA,NA,NA,Starting Lineup - Laimonas Chatkevicius,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Laimonas Chatkevicius,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Michael Cobbins,Anthony Hickey Jr.,Le&apos'Bryan Nash,Phil Forte III,Jeffrey Carroll
2014-15,2014-12-06,1454864,1,0,1,South Carolina,Oklahoma State,Gamecocks,Cowboys,4,4,0,0,0,1611,South Carolina,NA,NA,NA,Starting Lineup - Demetrius Henry,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Laimonas Chatkevicius,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Michael Cobbins,Anthony Hickey Jr.,Le&apos'Bryan Nash,Phil Forte III,Jeffrey Carroll
2014-15,2014-12-06,1454864,1,0,1,South Carolina,Oklahoma State,Gamecocks,Cowboys,4,4,0,0,0,1611,South Carolina,NA,NA,NA,Starting Lineup - Duane Notice,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Laimonas Chatkevicius,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Michael Cobbins,Anthony Hickey Jr.,Le&apos'Bryan Nash,Phil Forte III,Jeffrey Carroll
2014-15,2014-12-06,1454864,1,0,1,South Carolina,Oklahoma State,Gamecocks,Cowboys,4,4,0,0,0,1611,South Carolina,NA,NA,NA,Starting Lineup - Sindarius Thornwell,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Laimonas Chatkevicius,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Michael Cobbins,Anthony Hickey Jr.,Le&apos'Bryan Nash,Phil Forte III,Jeffrey Carroll
2014-15,2014-12-06,1454864,1,0,1,South Carolina,Oklahoma State,Gamecocks,Cowboys,4,4,0,0,0,1611,South Carolina,NA,NA,NA,Starting Lineup - Shamiek Sheppard,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Laimonas Chatkevicius,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Michael Cobbins,Anthony Hickey Jr.,Le&apos'Bryan Nash,Phil Forte III,Jeffrey Carroll
2014-15,2014-12-06,1454864,1,0,1,South Carolina,Oklahoma State,Gamecocks,Cowboys,4,4,0,0,0,1559,Oklahoma State,NA,NA,NA,Starting Lineup - Jeffrey Carroll,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Laimonas Chatkevicius,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Michael Cobbins,Anthony Hickey Jr.,Le&apos'Bryan Nash,Phil Forte III,Jeffrey Carroll
2014-15,2014-12-06,1454864,2,0,1,South Carolina,Oklahoma State,Gamecocks,Cowboys,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,Oklahoma State,1,NA,Tyrone Johnson,Laimonas Chatkevicius,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Michael Cobbins,Anthony Hickey Jr.,Le&apos'Bryan Nash,Phil Forte III,Jeffrey Carroll
2014-15,2014-12-06,1454864,5,0,1,South Carolina,Oklahoma State,Gamecocks,Cowboys,4,4,0,0,0,1559,Oklahoma State,2390,1190,10,Le'Bryan Nash misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,609850,Le'Bryan Nash,NA,0,Oklahoma State,Oklahoma State,1,NA,Tyrone Johnson,Laimonas Chatkevicius,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Michael Cobbins,Anthony Hickey Jr.,Le&apos'Bryan Nash,Phil Forte III,Jeffrey Carroll
2014-15,2014-12-06,1454864,8.5,0,1,South Carolina,Oklahoma State,Gamecocks,Cowboys,4,4,0,0,0,1559,Oklahoma State,2389,1189,1,Anthony Hickey Jr. misses a jump shot from 7 feet out.,missed,FALSE,FALSE,Jump Shot,23,12.25,603099,Anthony Hickey Jr.,NA,0,Oklahoma State,Oklahoma State,1,NA,Tyrone Johnson,Laimonas Chatkevicius,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Michael Cobbins,Anthony Hickey Jr.,Le&apos'Bryan Nash,Phil Forte III,Jeffrey Carroll
