season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5,away_6
2014-15,2014-12-19,1470269,1,0,1,Tulane,Jackson State,Green Wave,Tigers,4,4,0,0,0,1661,Tulane,NA,NA,NA,Starting Lineup - Tre Drye,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tre Drye,Jay Hook,Louis Dabney,Ryan Smith,Jonathan Stark,Raeford Worsham,Kenneth Taylor,Treshawn Bolden,Marcus Love,Marquis Todd,Dontaveon Robinson
2014-15,2014-12-19,1470269,1,0,1,Tulane,Jackson State,Green Wave,Tigers,4,4,0,0,0,1661,Tulane,NA,NA,NA,Starting Lineup - Jay Hook,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tre Drye,Jay Hook,Louis Dabney,Ryan Smith,Jonathan Stark,Raeford Worsham,Kenneth Taylor,Treshawn Bolden,Marcus Love,Marquis Todd,Dontaveon Robinson
2014-15,2014-12-19,1470269,1,0,1,Tulane,Jackson State,Green Wave,Tigers,4,4,0,0,0,1661,Tulane,NA,NA,NA,Starting Lineup - Louis Dabney,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tre Drye,Jay Hook,Louis Dabney,Ryan Smith,Jonathan Stark,Raeford Worsham,Kenneth Taylor,Treshawn Bolden,Marcus Love,Marquis Todd,Dontaveon Robinson
2014-15,2014-12-19,1470269,1,0,1,Tulane,Jackson State,Green Wave,Tigers,4,4,0,0,0,1452,Jackson State,NA,NA,NA,Starting Lineup - Raeford Worsham,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tre Drye,Jay Hook,Louis Dabney,Ryan Smith,Jonathan Stark,Raeford Worsham,Kenneth Taylor,Treshawn Bolden,Marcus Love,Marquis Todd,Dontaveon Robinson
2014-15,2014-12-19,1470269,1,0,1,Tulane,Jackson State,Green Wave,Tigers,4,4,0,0,0,1452,Jackson State,NA,NA,NA,Starting Lineup - Kenneth Taylor,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tre Drye,Jay Hook,Louis Dabney,Ryan Smith,Jonathan Stark,Raeford Worsham,Kenneth Taylor,Treshawn Bolden,Marcus Love,Marquis Todd,Dontaveon Robinson
2014-15,2014-12-19,1470269,1,0,1,Tulane,Jackson State,Green Wave,Tigers,4,4,0,0,0,1661,Tulane,NA,NA,NA,Starting Lineup - Ryan Smith,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tre Drye,Jay Hook,Louis Dabney,Ryan Smith,Jonathan Stark,Raeford Worsham,Kenneth Taylor,Treshawn Bolden,Marcus Love,Marquis Todd,Dontaveon Robinson
2014-15,2014-12-19,1470269,1,0,1,Tulane,Jackson State,Green Wave,Tigers,4,4,0,0,0,1661,Tulane,NA,NA,NA,Starting Lineup - Jonathan Stark,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tre Drye,Jay Hook,Louis Dabney,Ryan Smith,Jonathan Stark,Raeford Worsham,Kenneth Taylor,Treshawn Bolden,Marcus Love,Marquis Todd,Dontaveon Robinson
2014-15,2014-12-19,1470269,1,0,1,Tulane,Jackson State,Green Wave,Tigers,4,4,0,0,0,1452,Jackson State,NA,NA,NA,Starting Lineup - Treshawn Bolden,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tre Drye,Jay Hook,Louis Dabney,Ryan Smith,Jonathan Stark,Raeford Worsham,Kenneth Taylor,Treshawn Bolden,Marcus Love,Marquis Todd,Dontaveon Robinson
2014-15,2014-12-19,1470269,1,0,1,Tulane,Jackson State,Green Wave,Tigers,4,4,0,0,0,1452,Jackson State,NA,NA,NA,Starting Lineup - Marcus Love,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tre Drye,Jay Hook,Louis Dabney,Ryan Smith,Jonathan Stark,Raeford Worsham,Kenneth Taylor,Treshawn Bolden,Marcus Love,Marquis Todd,Dontaveon Robinson
2014-15,2014-12-19,1470269,1,0,1,Tulane,Jackson State,Green Wave,Tigers,4,4,0,0,0,1452,Jackson State,NA,NA,NA,Starting Lineup - Marquis Todd,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tre Drye,Jay Hook,Louis Dabney,Ryan Smith,Jonathan Stark,Raeford Worsham,Kenneth Taylor,Treshawn Bolden,Marcus Love,Marquis Todd,Dontaveon Robinson
