season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5
2019-20,2019-11-09,2185594,1,0,1,Gonzaga,UAPB,Bulldogs,Golden Lions,4,4,0,0,0,1423,Gonzaga,NA,NA,NA,Starting Lineup - Ryan Woolridge,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Ryan Woolridge,Admon Gilder,Corey Kispert,Filip Petrusev,Anton Watson,Terrance Banyard,Shaun Doss,Markedric Bell,Robert Boyd,Dequan Morris
2019-20,2019-11-09,2185594,1,0,1,Gonzaga,UAPB,Bulldogs,Golden Lions,4,4,0,0,0,1423,Gonzaga,NA,NA,NA,Starting Lineup - Admon Gilder,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Ryan Woolridge,Admon Gilder,Corey Kispert,Filip Petrusev,Anton Watson,Terrance Banyard,Shaun Doss,Markedric Bell,Robert Boyd,Dequan Morris
2019-20,2019-11-09,2185594,1,0,1,Gonzaga,UAPB,Bulldogs,Golden Lions,4,4,0,0,0,1423,Gonzaga,NA,NA,NA,Starting Lineup - Corey Kispert,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Ryan Woolridge,Admon Gilder,Corey Kispert,Filip Petrusev,Anton Watson,Terrance Banyard,Shaun Doss,Markedric Bell,Robert Boyd,Dequan Morris
2019-20,2019-11-09,2185594,1,0,1,Gonzaga,UAPB,Bulldogs,Golden Lions,4,4,0,0,0,1304,UAPB,NA,NA,NA,Starting Lineup - Terrance Banyard,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Ryan Woolridge,Admon Gilder,Corey Kispert,Filip Petrusev,Anton Watson,Terrance Banyard,Shaun Doss,Markedric Bell,Robert Boyd,Dequan Morris
2019-20,2019-11-09,2185594,1,0,1,Gonzaga,UAPB,Bulldogs,Golden Lions,4,4,0,0,0,1423,Gonzaga,NA,NA,NA,Starting Lineup - Filip Petrusev,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Ryan Woolridge,Admon Gilder,Corey Kispert,Filip Petrusev,Anton Watson,Terrance Banyard,Shaun Doss,Markedric Bell,Robert Boyd,Dequan Morris
2019-20,2019-11-09,2185594,1,0,1,Gonzaga,UAPB,Bulldogs,Golden Lions,4,4,0,0,0,1304,UAPB,NA,NA,NA,Starting Lineup - Shaun Doss,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Ryan Woolridge,Admon Gilder,Corey Kispert,Filip Petrusev,Anton Watson,Terrance Banyard,Shaun Doss,Markedric Bell,Robert Boyd,Dequan Morris
2019-20,2019-11-09,2185594,1,0,1,Gonzaga,UAPB,Bulldogs,Golden Lions,4,4,0,0,0,1423,Gonzaga,NA,NA,NA,Starting Lineup - Anton Watson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Ryan Woolridge,Admon Gilder,Corey Kispert,Filip Petrusev,Anton Watson,Terrance Banyard,Shaun Doss,Markedric Bell,Robert Boyd,Dequan Morris
2019-20,2019-11-09,2185594,1,0,1,Gonzaga,UAPB,Bulldogs,Golden Lions,4,4,0,0,0,1304,UAPB,NA,NA,NA,Starting Lineup - Markedric Bell,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Ryan Woolridge,Admon Gilder,Corey Kispert,Filip Petrusev,Anton Watson,Terrance Banyard,Shaun Doss,Markedric Bell,Robert Boyd,Dequan Morris
2019-20,2019-11-09,2185594,1,0,1,Gonzaga,UAPB,Bulldogs,Golden Lions,4,4,0,0,0,1304,UAPB,NA,NA,NA,Starting Lineup - Robert Boyd,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Ryan Woolridge,Admon Gilder,Corey Kispert,Filip Petrusev,Anton Watson,Terrance Banyard,Shaun Doss,Markedric Bell,Robert Boyd,Dequan Morris
2019-20,2019-11-09,2185594,1,0,1,Gonzaga,UAPB,Bulldogs,Golden Lions,4,4,0,0,0,1304,UAPB,NA,NA,NA,Starting Lineup - Dequan Morris,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Ryan Woolridge,Admon Gilder,Corey Kispert,Filip Petrusev,Anton Watson,Terrance Banyard,Shaun Doss,Markedric Bell,Robert Boyd,Dequan Morris
