season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5
2018-19,2019-02-10,2084679,1,0,1,Iowa,Northwestern,Hawkeyes,Wildcats,4,4,0,0,0,1449,Iowa,NA,NA,NA,Starting Lineup - Isaiah Moss,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Isaiah Moss,Joe Wieskamp,Luka Garza,Tyler Cook,Jordan Bohannon,Ryan Taylor,Barret Benson,Vic Law,Dererk Pardon,Anthony Gaines
2018-19,2019-02-10,2084679,1,0,1,Iowa,Northwestern,Hawkeyes,Wildcats,4,4,0,0,0,1449,Iowa,NA,NA,NA,Starting Lineup - Joe Wieskamp,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Isaiah Moss,Joe Wieskamp,Luka Garza,Tyler Cook,Jordan Bohannon,Ryan Taylor,Barret Benson,Vic Law,Dererk Pardon,Anthony Gaines
2018-19,2019-02-10,2084679,1,0,1,Iowa,Northwestern,Hawkeyes,Wildcats,4,4,0,0,0,1547,Northwestern,NA,NA,NA,Starting Lineup - Ryan Taylor,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Isaiah Moss,Joe Wieskamp,Luka Garza,Tyler Cook,Jordan Bohannon,Ryan Taylor,Barret Benson,Vic Law,Dererk Pardon,Anthony Gaines
2018-19,2019-02-10,2084679,1,0,1,Iowa,Northwestern,Hawkeyes,Wildcats,4,4,0,0,0,1547,Northwestern,NA,NA,NA,Starting Lineup - Barret Benson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Isaiah Moss,Joe Wieskamp,Luka Garza,Tyler Cook,Jordan Bohannon,Ryan Taylor,Barret Benson,Vic Law,Dererk Pardon,Anthony Gaines
2018-19,2019-02-10,2084679,1,0,1,Iowa,Northwestern,Hawkeyes,Wildcats,4,4,0,0,0,1547,Northwestern,NA,NA,NA,Starting Lineup - Vic Law,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Isaiah Moss,Joe Wieskamp,Luka Garza,Tyler Cook,Jordan Bohannon,Ryan Taylor,Barret Benson,Vic Law,Dererk Pardon,Anthony Gaines
2018-19,2019-02-10,2084679,1,0,1,Iowa,Northwestern,Hawkeyes,Wildcats,4,4,0,0,0,1449,Iowa,NA,NA,NA,Starting Lineup - Luka Garza,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Isaiah Moss,Joe Wieskamp,Luka Garza,Tyler Cook,Jordan Bohannon,Ryan Taylor,Barret Benson,Vic Law,Dererk Pardon,Anthony Gaines
2018-19,2019-02-10,2084679,1,0,1,Iowa,Northwestern,Hawkeyes,Wildcats,4,4,0,0,0,1547,Northwestern,NA,NA,NA,Starting Lineup - Dererk Pardon,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Isaiah Moss,Joe Wieskamp,Luka Garza,Tyler Cook,Jordan Bohannon,Ryan Taylor,Barret Benson,Vic Law,Dererk Pardon,Anthony Gaines
2018-19,2019-02-10,2084679,1,0,1,Iowa,Northwestern,Hawkeyes,Wildcats,4,4,0,0,0,1449,Iowa,NA,NA,NA,Starting Lineup - Tyler Cook,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Isaiah Moss,Joe Wieskamp,Luka Garza,Tyler Cook,Jordan Bohannon,Ryan Taylor,Barret Benson,Vic Law,Dererk Pardon,Anthony Gaines
2018-19,2019-02-10,2084679,1,0,1,Iowa,Northwestern,Hawkeyes,Wildcats,4,4,0,0,0,1449,Iowa,NA,NA,NA,Starting Lineup - Jordan Bohannon,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Isaiah Moss,Joe Wieskamp,Luka Garza,Tyler Cook,Jordan Bohannon,Ryan Taylor,Barret Benson,Vic Law,Dererk Pardon,Anthony Gaines
2018-19,2019-02-10,2084679,1,0,1,Iowa,Northwestern,Hawkeyes,Wildcats,4,4,0,0,0,1547,Northwestern,NA,NA,NA,Starting Lineup - Anthony Gaines,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Isaiah Moss,Joe Wieskamp,Luka Garza,Tyler Cook,Jordan Bohannon,Ryan Taylor,Barret Benson,Vic Law,Dererk Pardon,Anthony Gaines
2018-19,2019-02-10,2084679,2,0,1,Iowa,Northwestern,Hawkeyes,Wildcats,4,4,0,0,0,1547,Northwestern,2388,1188,NA,Ryan Taylor with an offensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Northwestern,Northwestern,1,NA,Isaiah Moss,Joe Wieskamp,Luka Garza,Tyler Cook,Jordan Bohannon,Ryan Taylor,Barret Benson,Vic Law,Dererk Pardon,Anthony Gaines
2018-19,2019-02-10,2084679,3,0,1,Iowa,Northwestern,Hawkeyes,Wildcats,4,4,4,3,1,1449,Iowa,2296,1096,92,Isaiah Moss with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Northwestern,Iowa,1,NA,Isaiah Moss,Joe Wieskamp,Luka Garza,Tyler Cook,Jordan Bohannon,Ryan Taylor,Barret Benson,Vic Law,Dererk Pardon,Anthony Gaines
2018-19,2019-02-10,2084679,5,0,1,Iowa,Northwestern,Hawkeyes,Wildcats,4,4,4,6,-2,1547,Northwestern,2209,1009,87,Vic Law misses a jump shot from 6 feet out.,missed,FALSE,FALSE,Jump Shot,30.5,3.55,844029,Vic Law,NA,0,Northwestern,Northwestern,1,NA,Isaiah Moss,Joe Wieskamp,Luka Garza,Tyler Cook,Jordan Bohannon,Ryan Taylor,Barret Benson,Vic Law,Dererk Pardon,Anthony Gaines
