season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number
2018-19,2019-01-19,2083770,1,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,0,0,1456,Kansas,NA,NA,NA,Starting Lineup - Dedric Lawson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2018-19,2019-01-19,2083770,1,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,0,0,1456,Kansas,NA,NA,NA,Starting Lineup - Quentin Grimes,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2018-19,2019-01-19,2083770,1,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,0,0,1689,West Virginia,NA,NA,NA,Starting Lineup - Chase Harler,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2018-19,2019-01-19,2083770,1,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,0,0,1689,West Virginia,NA,NA,NA,Starting Lineup - Andrew Gordon,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2018-19,2019-01-19,2083770,1,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,0,0,1456,Kansas,NA,NA,NA,Starting Lineup - Devon Dotson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2018-19,2019-01-19,2083770,1,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,0,0,1456,Kansas,NA,NA,NA,Starting Lineup - Marcus Garrett,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2018-19,2019-01-19,2083770,1,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,0,0,1689,West Virginia,NA,NA,NA,Starting Lineup - Wesley Harris,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2018-19,2019-01-19,2083770,1,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,0,0,1689,West Virginia,NA,NA,NA,Starting Lineup - Esa Ahmad,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2018-19,2019-01-19,2083770,1,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,0,0,1456,Kansas,NA,NA,NA,Starting Lineup - Lagerald Vick,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2018-19,2019-01-19,2083770,1,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,0,0,1689,West Virginia,NA,NA,NA,Starting Lineup - Jermaine Haley,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2018-19,2019-01-19,2083770,2,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,Kansas,1
2018-19,2019-01-19,2083770,3,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,0,0,1456,Kansas,2380,1180,20,Quentin Grimes with a turnover - Traveling,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Kansas,West Virginia,1
2018-19,2019-01-19,2083770,4,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,0,0,1689,West Virginia,2361,1161,19,Dedric Lawson blocks a Andrew Gordon layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,1134895,Andrew Gordon,NA,0,West Virginia,West Virginia,2
2018-19,2019-01-19,2083770,5,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,0,0,1456,Kansas,2361,1161,0,Quentin Grimes with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,West Virginia,Kansas,2
2018-19,2019-01-19,2083770,6,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,2,-2,1456,Kansas,2357,1157,4,Lagerald Vick makes a layup.,made,FALSE,FALSE,Layup Shot,26,6.25,887898,Lagerald Vick,NA,0,Kansas,Kansas,3
2018-19,2019-01-19,2083770,7,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,2,-2,1689,West Virginia,2357,1157,0,Shooting foul committed by Chase Harler.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Kansas,Kansas,3
2018-19,2019-01-19,2083770,8,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,3,-3,1456,Kansas,2357,1157,0,Lagerald Vick makes free throw 1 of 1.,made,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Kansas,West Virginia,3
2018-19,2019-01-19,2083770,9,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,3,-3,1689,West Virginia,2346,1146,11,Chase Harler with a turnover - Traveling,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,West Virginia,Kansas,4
2018-19,2019-01-19,2083770,10,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,0,3,-3,1456,Kansas,2342,1142,4,Jermaine Haley steals the ball from Lagerald Vick.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Kansas,West Virginia,5
2018-19,2019-01-19,2083770,11,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,2,3,-1,1689,West Virginia,2331,1131,11,Jermaine Haley dunks.,made,FALSE,FALSE,Dunk Shot,25,5.25,956202,Jermaine Haley,NA,0,West Virginia,Kansas,6
2018-19,2019-01-19,2083770,12,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,2,3,-1,1456,Kansas,2327,1127,4,Devon Dotson misses a layup.,missed,FALSE,FALSE,Layup Shot,26,6.25,1132829,Devon Dotson,NA,0,Kansas,Kansas,7
2018-19,2019-01-19,2083770,13,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,2,3,-1,1689,West Virginia,2327,1127,0,Andrew Gordon with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Kansas,West Virginia,7
2018-19,2019-01-19,2083770,14,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,2,3,-1,1689,West Virginia,2300,1100,27,Marcus Garrett steals the ball from Jermaine Haley.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,West Virginia,Kansas,8
2018-19,2019-01-19,2083770,15,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,2,3,-1,1689,West Virginia,2295,1095,5,Personal foul committed by Jermaine Haley.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Kansas,Kansas,9
2018-19,2019-01-19,2083770,16,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,2,3,-1,1456,Kansas,2285,1085,10,Dedric Lawson misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,879164,Dedric Lawson,NA,0,Kansas,Kansas,9
2018-19,2019-01-19,2083770,17,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,2,3,-1,1689,West Virginia,2285,1085,0,Jermaine Haley with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Kansas,West Virginia,9
2018-19,2019-01-19,2083770,18,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,4,3,1,1689,West Virginia,2278,1078,7,Jermaine Haley makes a layup.,made,FALSE,FALSE,Layup Shot,25,5.25,956202,Jermaine Haley,NA,0,West Virginia,Kansas,10
2018-19,2019-01-19,2083770,19,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,4,5,-1,1456,Kansas,2270,1070,8,Marcus Garrett makes a jump shot from 14 feet out.,made,FALSE,FALSE,Jump Shot,19.8,18.45,1060962,Marcus Garrett,NA,0,Kansas,West Virginia,11
2018-19,2019-01-19,2083770,20,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,6,5,1,1689,West Virginia,2251,1051,19,Chase Harler makes a layup. Esa Ahmad with the assist.,made,FALSE,FALSE,Layup Shot,26,6.25,944708,Chase Harler,Esa Ahmad,0,West Virginia,Kansas,12
2018-19,2019-01-19,2083770,21,0,1,West Virginia,Kansas,Mountaineers,Jayhawks,4,4,6,5,1,1456,Kansas,2226,1026,25,Devon Dotson with a turnover - Traveling,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Kansas,West Virginia,13
