season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5
2020-21,2020-12-19,2289276,1,0,1,Tulane,Grambling State,Green Wave,Tigers,4,4,0,0,0,1424,Grambling State,NA,NA,NA,Starting Lineup - Cameron Christon,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Gabe Watson,Nobal Days,Jordan Walker,R.J. McGee,Jaylen Forbes,Cameron Christon,Prince Moss,Trevell Cunningham,Terreon Randolph,Sarion McGee
2020-21,2020-12-19,2289276,1,0,1,Tulane,Grambling State,Green Wave,Tigers,4,4,0,0,0,1424,Grambling State,NA,NA,NA,Starting Lineup - Prince Moss,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Gabe Watson,Nobal Days,Jordan Walker,R.J. McGee,Jaylen Forbes,Cameron Christon,Prince Moss,Trevell Cunningham,Terreon Randolph,Sarion McGee
2020-21,2020-12-19,2289276,1,0,1,Tulane,Grambling State,Green Wave,Tigers,4,4,0,0,0,1661,Tulane,NA,NA,NA,Starting Lineup - Gabe Watson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Gabe Watson,Nobal Days,Jordan Walker,R.J. McGee,Jaylen Forbes,Cameron Christon,Prince Moss,Trevell Cunningham,Terreon Randolph,Sarion McGee
2020-21,2020-12-19,2289276,1,0,1,Tulane,Grambling State,Green Wave,Tigers,4,4,0,0,0,1661,Tulane,NA,NA,NA,Starting Lineup - Nobal Days,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Gabe Watson,Nobal Days,Jordan Walker,R.J. McGee,Jaylen Forbes,Cameron Christon,Prince Moss,Trevell Cunningham,Terreon Randolph,Sarion McGee
2020-21,2020-12-19,2289276,1,0,1,Tulane,Grambling State,Green Wave,Tigers,4,4,0,0,0,1661,Tulane,NA,NA,NA,Starting Lineup - Jordan Walker,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Gabe Watson,Nobal Days,Jordan Walker,R.J. McGee,Jaylen Forbes,Cameron Christon,Prince Moss,Trevell Cunningham,Terreon Randolph,Sarion McGee
2020-21,2020-12-19,2289276,1,0,1,Tulane,Grambling State,Green Wave,Tigers,4,4,0,0,0,1661,Tulane,NA,NA,NA,Starting Lineup - R.J. McGee,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Gabe Watson,Nobal Days,Jordan Walker,R.J. McGee,Jaylen Forbes,Cameron Christon,Prince Moss,Trevell Cunningham,Terreon Randolph,Sarion McGee
2020-21,2020-12-19,2289276,1,0,1,Tulane,Grambling State,Green Wave,Tigers,4,4,0,0,0,1661,Tulane,NA,NA,NA,Starting Lineup - Jaylen Forbes,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Gabe Watson,Nobal Days,Jordan Walker,R.J. McGee,Jaylen Forbes,Cameron Christon,Prince Moss,Trevell Cunningham,Terreon Randolph,Sarion McGee
2020-21,2020-12-19,2289276,1,0,1,Tulane,Grambling State,Green Wave,Tigers,4,4,0,0,0,1424,Grambling State,NA,NA,NA,Starting Lineup - Trevell Cunningham,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Gabe Watson,Nobal Days,Jordan Walker,R.J. McGee,Jaylen Forbes,Cameron Christon,Prince Moss,Trevell Cunningham,Terreon Randolph,Sarion McGee
2020-21,2020-12-19,2289276,1,0,1,Tulane,Grambling State,Green Wave,Tigers,4,4,0,0,0,1424,Grambling State,NA,NA,NA,Starting Lineup - Terreon Randolph,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Gabe Watson,Nobal Days,Jordan Walker,R.J. McGee,Jaylen Forbes,Cameron Christon,Prince Moss,Trevell Cunningham,Terreon Randolph,Sarion McGee
2020-21,2020-12-19,2289276,1,0,1,Tulane,Grambling State,Green Wave,Tigers,4,4,0,0,0,1424,Grambling State,NA,NA,NA,Starting Lineup - Sarion McGee,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Gabe Watson,Nobal Days,Jordan Walker,R.J. McGee,Jaylen Forbes,Cameron Christon,Prince Moss,Trevell Cunningham,Terreon Randolph,Sarion McGee
