season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5,away_6,away_7,away_8,away_9,away_10
2015-16,2015-11-29,1589164,4,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,0,0,0,5190,Texas-Permian Basin,2394,1194,0,Tramique Sutherland misses a jump shot from 17 feet out.,missed,FALSE,FALSE,Jump Shot,23.9,21.95,847107,Tramique Sutherland,NA,0,Texas-Permian Basin,UTSA,3,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,4,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,0,0,0,5190,Texas-Permian Basin,2394,1194,0,Tramique Sutherland misses a jump shot from 17 feet out.,missed,FALSE,FALSE,Jump Shot,23.9,21.95,847107,Tramique Sutherland,NA,0,Texas-Permian Basin,Texas-Permian Basin,4,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,4,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,0,0,0,5190,Texas-Permian Basin,2394,1194,0,Tramique Sutherland misses a jump shot from 17 feet out.,missed,FALSE,FALSE,Jump Shot,23.9,21.95,847107,Tramique Sutherland,NA,0,Texas-Permian Basin,UTSA,4,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,6,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,0,0,0,5190,Texas-Permian Basin,2382,1182,12,Personal foul committed by Codye Hatcher.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,UTSA,UTSA,5,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,6,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,0,0,0,5190,Texas-Permian Basin,2382,1182,0,Personal foul committed by Codye Hatcher.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,UTSA,UTSA,5,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,11,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,2,0,2,1650,UTSA,2364,1164,18,Ryan Bowie makes a layup.,made,FALSE,FALSE,Layup Shot,25,5.25,847609,Ryan Bowie,NA,0,UTSA,Texas-Permian Basin,5,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,12,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,2,0,2,5190,Texas-Permian Basin,2353,1153,11,Billy Dee Williams misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,12.7,25.95,843802,Billy Dee Williams,NA,0,Texas-Permian Basin,Texas-Permian Basin,6,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,12,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,2,0,2,5190,Texas-Permian Basin,2353,1153,11,Billy Dee Williams misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,12.7,25.95,843802,Billy Dee Williams,NA,0,Texas-Permian Basin,UTSA,6,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,12,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,2,0,2,5190,Texas-Permian Basin,2353,1153,0,Billy Dee Williams misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,12.7,25.95,843802,Billy Dee Williams,NA,0,Texas-Permian Basin,Texas-Permian Basin,7,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,12,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,2,0,2,5190,Texas-Permian Basin,2353,1153,0,Billy Dee Williams misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,12.7,25.95,843802,Billy Dee Williams,NA,0,Texas-Permian Basin,UTSA,7,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
