season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number
2015-16,2016-03-02,1576470,1,0,1,Rutgers,Michigan State,Scarlet Knights,Spartans,4,4,0,0,0,1586,Rutgers,NA,NA,NA,Starting Lineup - Bishop Daniels,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2015-16,2016-03-02,1576470,1,0,1,Rutgers,Michigan State,Scarlet Knights,Spartans,4,4,0,0,0,1586,Rutgers,NA,NA,NA,Starting Lineup - Greg Lewis,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2015-16,2016-03-02,1576470,1,0,1,Rutgers,Michigan State,Scarlet Knights,Spartans,4,4,0,0,0,1499,Michigan State,NA,NA,NA,Starting Lineup - Eron Harris,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2015-16,2016-03-02,1576470,1,0,1,Rutgers,Michigan State,Scarlet Knights,Spartans,4,4,0,0,0,1499,Michigan State,NA,NA,NA,Starting Lineup - Bryn Forbes,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2015-16,2016-03-02,1576470,1,0,1,Rutgers,Michigan State,Scarlet Knights,Spartans,4,4,0,0,0,1499,Michigan State,NA,NA,NA,Starting Lineup - Matt Costello,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2015-16,2016-03-02,1576470,1,0,1,Rutgers,Michigan State,Scarlet Knights,Spartans,4,4,0,0,0,1499,Michigan State,NA,NA,NA,Starting Lineup - Denzel Valentine,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2015-16,2016-03-02,1576470,1,0,1,Rutgers,Michigan State,Scarlet Knights,Spartans,4,4,0,0,0,1586,Rutgers,NA,NA,NA,Starting Lineup - D.J. Foreman,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2015-16,2016-03-02,1576470,1,0,1,Rutgers,Michigan State,Scarlet Knights,Spartans,4,4,0,0,0,1499,Michigan State,NA,NA,NA,Starting Lineup - Deyonta Davis,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2015-16,2016-03-02,1576470,1,0,1,Rutgers,Michigan State,Scarlet Knights,Spartans,4,4,0,0,0,1586,Rutgers,NA,NA,NA,Starting Lineup - Jonathan Laurent,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2015-16,2016-03-02,1576470,1,0,1,Rutgers,Michigan State,Scarlet Knights,Spartans,4,4,0,0,0,1586,Rutgers,NA,NA,NA,Starting Lineup - Corey Sanders,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2015-16,2016-03-02,1576470,2,0,1,Rutgers,Michigan State,Scarlet Knights,Spartans,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,Michigan State,1
2015-16,2016-03-02,1576470,6,0,1,Rutgers,Michigan State,Scarlet Knights,Spartans,4,4,0,2,-2,1499,Michigan State,2384,1184,16,Eron Harris makes a jump shot from 15 feet out.,made,FALSE,FALSE,Jump Shot,33.1,17.95,679473,Eron Harris,NA,0,Michigan State,Rutgers,1
2015-16,2016-03-02,1576470,7,0,1,Rutgers,Michigan State,Scarlet Knights,Spartans,4,4,2,2,0,1586,Rutgers,2360,1160,24,Corey Sanders makes a layup. Greg Lewis with the assist.,made,FALSE,FALSE,Layup Shot,26,6.25,899730,Corey Sanders,Greg Lewis,0,Rutgers,Michigan State,2
2015-16,2016-03-02,1576470,8,0,1,Rutgers,Michigan State,Scarlet Knights,Spartans,4,4,2,2,0,1499,Michigan State,2340,1140,20,Denzel Valentine misses a jump shot from 9 feet out.,missed,FALSE,FALSE,Jump Shot,26.1,14.55,712595,Denzel Valentine,NA,0,Michigan State,Michigan State,3
2015-16,2016-03-02,1576470,9,0,1,Rutgers,Michigan State,Scarlet Knights,Spartans,4,4,2,2,0,1499,Michigan State,2340,1140,0,Matt Costello with an offensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Michigan State,Michigan State,3
