season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5,away_6,away_7
2015-16,2015-12-30,1588671,6,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,0,0,0,1611,South Carolina,2386,1186,0,Mindaugas Kacinas misses free throw 1 of 2.,missed,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,South Carolina,South Carolina,1,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,8,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,1,0,1,1611,South Carolina,2386,1186,0,Mindaugas Kacinas makes free throw 2 of 2.,made,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,South Carolina,Francis Marion,1,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,11,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,1,0,1,1611,South Carolina,2370,1170,16,Personal foul committed by Michael Carrera.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Francis Marion,Francis Marion,2,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,11,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,1,0,1,1611,South Carolina,2370,1170,0,Personal foul committed by Michael Carrera.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Francis Marion,Francis Marion,2,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,13,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,1,0,1,1909,Francis Marion,2363,1163,7,PJ Dozier steals the ball from Alex Bryant.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Francis Marion,South Carolina,2,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,14,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1611,South Carolina,2360,1160,3,PJ Dozier makes a jump shot from 9 feet out.,made,FALSE,FALSE,Jump Shot,28.5,13.150000000000006,886448,PJ Dozier,NA,0,South Carolina,Francis Marion,3,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,15,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1909,Francis Marion,2327,1127,33,PJ Dozier blocks a Detrek Browning layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,897406,Detrek Browning,NA,0,Francis Marion,Francis Marion,4,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,16,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1909,Francis Marion,2327,1127,0,Detrek Browning with an offensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Francis Marion,Francis Marion,4,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,17,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1909,Francis Marion,2321,1121,6,PJ Dozier steals the ball from Detrek Browning.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Francis Marion,South Carolina,4,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,18,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1611,South Carolina,2314,1114,7,Brandon Parker steals the ball from Mindaugas Kacinas.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,South Carolina,South Carolina,5,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,18,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1611,South Carolina,2314,1114,7,Brandon Parker steals the ball from Mindaugas Kacinas.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,South Carolina,Francis Marion,5,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,18,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1611,South Carolina,2314,1114,0,Brandon Parker steals the ball from Mindaugas Kacinas.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,South Carolina,South Carolina,6,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,18,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1611,South Carolina,2314,1114,0,Brandon Parker steals the ball from Mindaugas Kacinas.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,South Carolina,Francis Marion,6,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,19,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1909,Francis Marion,2307,1107,7,Brandon Parker misses a jump shot from 17 feet out.,missed,FALSE,FALSE,Jump Shot,12,15.65,897423,Brandon Parker,NA,0,Francis Marion,Francis Marion,7,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,19,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1909,Francis Marion,2307,1107,0,Brandon Parker misses a jump shot from 17 feet out.,missed,FALSE,FALSE,Jump Shot,12,15.65,897423,Brandon Parker,NA,0,Francis Marion,Francis Marion,7,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,19,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1909,Francis Marion,2307,1107,0,Brandon Parker misses a jump shot from 17 feet out.,missed,FALSE,FALSE,Jump Shot,12,15.65,897423,Brandon Parker,NA,0,Francis Marion,Francis Marion,7,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,19,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1909,Francis Marion,2307,1107,0,Brandon Parker misses a jump shot from 17 feet out.,missed,FALSE,FALSE,Jump Shot,12,15.65,897423,Brandon Parker,NA,0,Francis Marion,Francis Marion,7,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,20,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1611,South Carolina,2307,1107,0,Laimonas Chatkevicius with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Francis Marion,South Carolina,7,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,21,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1611,South Carolina,2297,1097,10,PJ Dozier misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,36.8,25.950000000000003,886448,PJ Dozier,NA,0,South Carolina,South Carolina,8,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,22,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1909,Francis Marion,2297,1097,0,Detrek Browning with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,South Carolina,Francis Marion,8,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,23,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1909,Francis Marion,2280,1080,17,Alex Bryant misses a jump shot from 12 feet out.,missed,FALSE,FALSE,Jump Shot,21,17.05,897414,Alex Bryant,NA,0,Francis Marion,South Carolina,9,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,25,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1611,South Carolina,2252,1052,28,Michael Carrera misses a 3-point jump shot from 23 feet out.,missed,FALSE,TRUE,Jump Shot,46.5,14.650000000000006,706554,Michael Carrera,NA,0,South Carolina,South Carolina,10,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
