season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,home_6,home_7,home_8,home_9,home_10,away_1,away_2,away_3,away_4,away_5,away_6,away_7,away_8,away_9,away_10
2013-14,2013-11-08,1359429,1,0,1,Arizona State,UMBC,Sun Devils,Retrievers,4,4,0,0,0,1491,UMBC,NA,NA,NA,Starting Lineup - Brett Roseboro,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jermaine Marshall,Jermaine Marshall,Jordan Bachynski,Jordan Bachynski,Jahii Carson,Jahii Carson,Jonathan Gilling,Jonathan Gilling,Shaquielle McKissic,Shaquielle McKissic,Brett Roseboro,Brett Roseboro,Joey Getz,Joey Getz,Malik Garner,Malik Garner,Rodney Elliott,Rodney Elliott,Devarick Houston,Devarick Houston
2013-14,2013-11-08,1359429,1,0,1,Arizona State,UMBC,Sun Devils,Retrievers,4,4,0,0,0,1491,UMBC,NA,NA,NA,Starting Lineup - Brett Roseboro,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jermaine Marshall,Jermaine Marshall,Jordan Bachynski,Jordan Bachynski,Jahii Carson,Jahii Carson,Jonathan Gilling,Jonathan Gilling,Shaquielle McKissic,Shaquielle McKissic,Brett Roseboro,Brett Roseboro,Joey Getz,Joey Getz,Malik Garner,Malik Garner,Rodney Elliott,Rodney Elliott,Devarick Houston,Devarick Houston
2013-14,2013-11-08,1359429,1,0,1,Arizona State,UMBC,Sun Devils,Retrievers,4,4,0,0,0,1292,Arizona State,NA,NA,NA,Starting Lineup - Jermaine Marshall,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jermaine Marshall,Jermaine Marshall,Jordan Bachynski,Jordan Bachynski,Jahii Carson,Jahii Carson,Jonathan Gilling,Jonathan Gilling,Shaquielle McKissic,Shaquielle McKissic,Brett Roseboro,Brett Roseboro,Joey Getz,Joey Getz,Malik Garner,Malik Garner,Rodney Elliott,Rodney Elliott,Devarick Houston,Devarick Houston
2013-14,2013-11-08,1359429,1,0,1,Arizona State,UMBC,Sun Devils,Retrievers,4,4,0,0,0,1292,Arizona State,NA,NA,NA,Starting Lineup - Jermaine Marshall,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jermaine Marshall,Jermaine Marshall,Jordan Bachynski,Jordan Bachynski,Jahii Carson,Jahii Carson,Jonathan Gilling,Jonathan Gilling,Shaquielle McKissic,Shaquielle McKissic,Brett Roseboro,Brett Roseboro,Joey Getz,Joey Getz,Malik Garner,Malik Garner,Rodney Elliott,Rodney Elliott,Devarick Houston,Devarick Houston
2013-14,2013-11-08,1359429,1,0,1,Arizona State,UMBC,Sun Devils,Retrievers,4,4,0,0,0,1292,Arizona State,NA,NA,NA,Starting Lineup - Jordan Bachynski,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jermaine Marshall,Jermaine Marshall,Jordan Bachynski,Jordan Bachynski,Jahii Carson,Jahii Carson,Jonathan Gilling,Jonathan Gilling,Shaquielle McKissic,Shaquielle McKissic,Brett Roseboro,Brett Roseboro,Joey Getz,Joey Getz,Malik Garner,Malik Garner,Rodney Elliott,Rodney Elliott,Devarick Houston,Devarick Houston
2013-14,2013-11-08,1359429,1,0,1,Arizona State,UMBC,Sun Devils,Retrievers,4,4,0,0,0,1292,Arizona State,NA,NA,NA,Starting Lineup - Jordan Bachynski,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jermaine Marshall,Jermaine Marshall,Jordan Bachynski,Jordan Bachynski,Jahii Carson,Jahii Carson,Jonathan Gilling,Jonathan Gilling,Shaquielle McKissic,Shaquielle McKissic,Brett Roseboro,Brett Roseboro,Joey Getz,Joey Getz,Malik Garner,Malik Garner,Rodney Elliott,Rodney Elliott,Devarick Houston,Devarick Houston
2013-14,2013-11-08,1359429,1,0,1,Arizona State,UMBC,Sun Devils,Retrievers,4,4,0,0,0,1292,Arizona State,NA,NA,NA,Starting Lineup - Jahii Carson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jermaine Marshall,Jermaine Marshall,Jordan Bachynski,Jordan Bachynski,Jahii Carson,Jahii Carson,Jonathan Gilling,Jonathan Gilling,Shaquielle McKissic,Shaquielle McKissic,Brett Roseboro,Brett Roseboro,Joey Getz,Joey Getz,Malik Garner,Malik Garner,Rodney Elliott,Rodney Elliott,Devarick Houston,Devarick Houston
2013-14,2013-11-08,1359429,1,0,1,Arizona State,UMBC,Sun Devils,Retrievers,4,4,0,0,0,1292,Arizona State,NA,NA,NA,Starting Lineup - Jahii Carson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jermaine Marshall,Jermaine Marshall,Jordan Bachynski,Jordan Bachynski,Jahii Carson,Jahii Carson,Jonathan Gilling,Jonathan Gilling,Shaquielle McKissic,Shaquielle McKissic,Brett Roseboro,Brett Roseboro,Joey Getz,Joey Getz,Malik Garner,Malik Garner,Rodney Elliott,Rodney Elliott,Devarick Houston,Devarick Houston
2013-14,2013-11-08,1359429,1,0,1,Arizona State,UMBC,Sun Devils,Retrievers,4,4,0,0,0,1292,Arizona State,NA,NA,NA,Starting Lineup - Jonathan Gilling,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jermaine Marshall,Jermaine Marshall,Jordan Bachynski,Jordan Bachynski,Jahii Carson,Jahii Carson,Jonathan Gilling,Jonathan Gilling,Shaquielle McKissic,Shaquielle McKissic,Brett Roseboro,Brett Roseboro,Joey Getz,Joey Getz,Malik Garner,Malik Garner,Rodney Elliott,Rodney Elliott,Devarick Houston,Devarick Houston
2013-14,2013-11-08,1359429,1,0,1,Arizona State,UMBC,Sun Devils,Retrievers,4,4,0,0,0,1292,Arizona State,NA,NA,NA,Starting Lineup - Jonathan Gilling,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jermaine Marshall,Jermaine Marshall,Jordan Bachynski,Jordan Bachynski,Jahii Carson,Jahii Carson,Jonathan Gilling,Jonathan Gilling,Shaquielle McKissic,Shaquielle McKissic,Brett Roseboro,Brett Roseboro,Joey Getz,Joey Getz,Malik Garner,Malik Garner,Rodney Elliott,Rodney Elliott,Devarick Houston,Devarick Houston
