season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5
2013-14,2014-02-26,1357461,1,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1422,Georgia Tech,NA,NA,NA,Starting Lineup - Daniel Miller,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,1,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1549,Notre Dame,NA,NA,NA,Starting Lineup - Garrick Sherman,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,1,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1549,Notre Dame,NA,NA,NA,Starting Lineup - Eric Atkins,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,1,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1422,Georgia Tech,NA,NA,NA,Starting Lineup - Trae Golden,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,1,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1549,Notre Dame,NA,NA,NA,Starting Lineup - Pat Connaughton,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,1,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1422,Georgia Tech,NA,NA,NA,Starting Lineup - Marcus Georges-Hunt,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,1,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1422,Georgia Tech,NA,NA,NA,"Starting Lineup - Robert Carter, Jr.",NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,1,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1422,Georgia Tech,NA,NA,NA,Starting Lineup - Corey Heyward,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,1,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1549,Notre Dame,NA,NA,NA,Starting Lineup - Austin Burgett,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,1,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1549,Notre Dame,NA,NA,NA,Starting Lineup - Steve Vasturia,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,2,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,Georgia Tech,1,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,13,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1422,Georgia Tech,2368,1168,32,Daniel Miller misses a jump shot from 16 feet out.,missed,FALSE,FALSE,Jump Shot,24.1,20.95,502810,Daniel Miller,NA,0,Georgia Tech,Georgia Tech,1,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,14,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1549,Notre Dame,2368,1168,0,Eric Atkins with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Georgia Tech,Notre Dame,1,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,19,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1549,Notre Dame,2334,1134,34,Eric Atkins misses a jump shot from 15 feet out.,missed,FALSE,FALSE,Jump Shot,31.2,18.450000000000003,552317,Eric Atkins,NA,0,Notre Dame,Notre Dame,2,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,20,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1422,Georgia Tech,2334,1134,0,Robert Carter with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Notre Dame,Georgia Tech,2,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,21,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1422,Georgia Tech,2320,1120,14,Robert Carter misses a jump shot from 11 feet out.,missed,FALSE,FALSE,Jump Shot,36.3,6.55,696318,Robert Carter,NA,0,Georgia Tech,Georgia Tech,3,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,22,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1549,Notre Dame,2320,1120,0,Steve Vasturia with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Georgia Tech,Notre Dame,3,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,23,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1549,Notre Dame,2309,1109,11,Austin Burgett misses a 3-point jump shot from 22 feet out.,missed,FALSE,TRUE,Jump Shot,3.1000000000000014,7.849999999999994,697044,Austin Burgett,NA,0,Notre Dame,Notre Dame,4,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,24,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1422,Georgia Tech,2309,1109,0,Daniel Miller with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Notre Dame,Georgia Tech,4,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,24.5,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1422,Georgia Tech,2304,1104,5,Austin Burgett blocks a Trae Golden layup.,missed,FALSE,FALSE,Layup Shot,26,6.25,552522,Trae Golden,NA,0,Georgia Tech,Georgia Tech,5,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
2013-14,2014-02-26,1357461,24.75,0,1,Notre Dame,Georgia Tech,Fighting Irish,Yellow Jackets,4,4,0,0,0,1422,Georgia Tech,2304,1104,0,Robert Carter with an offensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Georgia Tech,Georgia Tech,5,NA,Garrick Sherman,Eric Atkins,Pat Connaughton,Austin Burgett,Steve Vasturia,Daniel Miller,Trae Golden,Marcus Georges-Hunt,"Robert Carter, Jr.",Corey Heyward
