season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5,away_6,away_7,away_8,away_9,away_10
2013-14,2013-12-28,1359651,1,0,1,Utah,Saint Katherine College,Runnin' Utes,Firebirds,4,4,0,0,0,1670,Utah,NA,NA,NA,Starting Lineup - Renan Lenz,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Renan Lenz,Jordan Loveridge,Brandon Taylor,Dakarai Tucker,Delon Wright,Dante Miller,Alex Perez,Alex Perez,Jake Shugrue,Alex Perez,Joshua White,Alex Perez,Jonathan Wood,Alex Perez,Jimmy Roethler
2013-14,2013-12-28,1359651,1,0,1,Utah,Saint Katherine College,Runnin' Utes,Firebirds,4,4,0,0,0,1670,Utah,NA,NA,NA,Starting Lineup - Jordan Loveridge,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Renan Lenz,Jordan Loveridge,Brandon Taylor,Dakarai Tucker,Delon Wright,Dante Miller,Alex Perez,Alex Perez,Jake Shugrue,Alex Perez,Joshua White,Alex Perez,Jonathan Wood,Alex Perez,Jimmy Roethler
2013-14,2013-12-28,1359651,1,0,1,Utah,Saint Katherine College,Runnin' Utes,Firebirds,4,4,0,0,0,1670,Utah,NA,NA,NA,Starting Lineup - Brandon Taylor,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Renan Lenz,Jordan Loveridge,Brandon Taylor,Dakarai Tucker,Delon Wright,Dante Miller,Alex Perez,Alex Perez,Jake Shugrue,Alex Perez,Joshua White,Alex Perez,Jonathan Wood,Alex Perez,Jimmy Roethler
2013-14,2013-12-28,1359651,1,0,1,Utah,Saint Katherine College,Runnin' Utes,Firebirds,4,4,0,0,0,1670,Utah,NA,NA,NA,Starting Lineup - Dakarai Tucker,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Renan Lenz,Jordan Loveridge,Brandon Taylor,Dakarai Tucker,Delon Wright,Dante Miller,Alex Perez,Alex Perez,Jake Shugrue,Alex Perez,Joshua White,Alex Perez,Jonathan Wood,Alex Perez,Jimmy Roethler
2013-14,2013-12-28,1359651,1,0,1,Utah,Saint Katherine College,Runnin' Utes,Firebirds,4,4,0,0,0,26919,Saint Katherine College,NA,NA,NA,Starting Lineup - Dante Miller,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Renan Lenz,Jordan Loveridge,Brandon Taylor,Dakarai Tucker,Delon Wright,Dante Miller,Alex Perez,Alex Perez,Jake Shugrue,Alex Perez,Joshua White,Alex Perez,Jonathan Wood,Alex Perez,Jimmy Roethler
2013-14,2013-12-28,1359651,1,0,1,Utah,Saint Katherine College,Runnin' Utes,Firebirds,4,4,0,0,0,26919,Saint Katherine College,NA,NA,NA,Starting Lineup - Alex Perez,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Renan Lenz,Jordan Loveridge,Brandon Taylor,Dakarai Tucker,Delon Wright,Dante Miller,Alex Perez,Alex Perez,Jake Shugrue,Alex Perez,Joshua White,Alex Perez,Jonathan Wood,Alex Perez,Jimmy Roethler
2013-14,2013-12-28,1359651,1,0,1,Utah,Saint Katherine College,Runnin' Utes,Firebirds,4,4,0,0,0,1670,Utah,NA,NA,NA,Starting Lineup - Delon Wright,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Renan Lenz,Jordan Loveridge,Brandon Taylor,Dakarai Tucker,Delon Wright,Dante Miller,Alex Perez,Alex Perez,Jake Shugrue,Alex Perez,Joshua White,Alex Perez,Jonathan Wood,Alex Perez,Jimmy Roethler
2013-14,2013-12-28,1359651,1,0,1,Utah,Saint Katherine College,Runnin' Utes,Firebirds,4,4,0,0,0,26919,Saint Katherine College,NA,NA,NA,Starting Lineup - Alex Perez,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Renan Lenz,Jordan Loveridge,Brandon Taylor,Dakarai Tucker,Delon Wright,Dante Miller,Alex Perez,Alex Perez,Jake Shugrue,Alex Perez,Joshua White,Alex Perez,Jonathan Wood,Alex Perez,Jimmy Roethler
2013-14,2013-12-28,1359651,1,0,1,Utah,Saint Katherine College,Runnin' Utes,Firebirds,4,4,0,0,0,26919,Saint Katherine College,NA,NA,NA,Starting Lineup - Jake Shugrue,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Renan Lenz,Jordan Loveridge,Brandon Taylor,Dakarai Tucker,Delon Wright,Dante Miller,Alex Perez,Alex Perez,Jake Shugrue,Alex Perez,Joshua White,Alex Perez,Jonathan Wood,Alex Perez,Jimmy Roethler
2013-14,2013-12-28,1359651,1,0,1,Utah,Saint Katherine College,Runnin' Utes,Firebirds,4,4,0,0,0,26919,Saint Katherine College,NA,NA,NA,Starting Lineup - Alex Perez,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Renan Lenz,Jordan Loveridge,Brandon Taylor,Dakarai Tucker,Delon Wright,Dante Miller,Alex Perez,Alex Perez,Jake Shugrue,Alex Perez,Joshua White,Alex Perez,Jonathan Wood,Alex Perez,Jimmy Roethler
