season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5
2022-23,2022-11-27,2500452,1,0,1,Oklahoma State,Prairie View A&M,Cowboys,Panthers,4,4,0,0,0,1573,Prairie View A&M,NA,NA,NA,Starting Lineup - Trajan Wesley,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,John-Michael Wright,Avery Anderson III,Moussa Cisse,Kalib Boone,Bryce Thompson,Trajan Wesley,Will Douglas,Tekorian Smith,Jeremiah Gambrell,Nikkei Rutty
2022-23,2022-11-27,2500452,1,0,1,Oklahoma State,Prairie View A&M,Cowboys,Panthers,4,4,0,0,0,1559,Oklahoma State,NA,NA,NA,Starting Lineup - John-Michael Wright,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,John-Michael Wright,Avery Anderson III,Moussa Cisse,Kalib Boone,Bryce Thompson,Trajan Wesley,Will Douglas,Tekorian Smith,Jeremiah Gambrell,Nikkei Rutty
2022-23,2022-11-27,2500452,1,0,1,Oklahoma State,Prairie View A&M,Cowboys,Panthers,4,4,0,0,0,1559,Oklahoma State,NA,NA,NA,Starting Lineup - Avery Anderson III,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,John-Michael Wright,Avery Anderson III,Moussa Cisse,Kalib Boone,Bryce Thompson,Trajan Wesley,Will Douglas,Tekorian Smith,Jeremiah Gambrell,Nikkei Rutty
2022-23,2022-11-27,2500452,1,0,1,Oklahoma State,Prairie View A&M,Cowboys,Panthers,4,4,0,0,0,1573,Prairie View A&M,NA,NA,NA,Starting Lineup - Will Douglas,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,John-Michael Wright,Avery Anderson III,Moussa Cisse,Kalib Boone,Bryce Thompson,Trajan Wesley,Will Douglas,Tekorian Smith,Jeremiah Gambrell,Nikkei Rutty
2022-23,2022-11-27,2500452,1,0,1,Oklahoma State,Prairie View A&M,Cowboys,Panthers,4,4,0,0,0,1573,Prairie View A&M,NA,NA,NA,Starting Lineup - Tekorian Smith,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,John-Michael Wright,Avery Anderson III,Moussa Cisse,Kalib Boone,Bryce Thompson,Trajan Wesley,Will Douglas,Tekorian Smith,Jeremiah Gambrell,Nikkei Rutty
2022-23,2022-11-27,2500452,1,0,1,Oklahoma State,Prairie View A&M,Cowboys,Panthers,4,4,0,0,0,1573,Prairie View A&M,NA,NA,NA,Starting Lineup - Jeremiah Gambrell,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,John-Michael Wright,Avery Anderson III,Moussa Cisse,Kalib Boone,Bryce Thompson,Trajan Wesley,Will Douglas,Tekorian Smith,Jeremiah Gambrell,Nikkei Rutty
2022-23,2022-11-27,2500452,1,0,1,Oklahoma State,Prairie View A&M,Cowboys,Panthers,4,4,0,0,0,1573,Prairie View A&M,NA,NA,NA,Starting Lineup - Nikkei Rutty,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,John-Michael Wright,Avery Anderson III,Moussa Cisse,Kalib Boone,Bryce Thompson,Trajan Wesley,Will Douglas,Tekorian Smith,Jeremiah Gambrell,Nikkei Rutty
2022-23,2022-11-27,2500452,1,0,1,Oklahoma State,Prairie View A&M,Cowboys,Panthers,4,4,0,0,0,1559,Oklahoma State,NA,NA,NA,Starting Lineup - Moussa Cisse,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,John-Michael Wright,Avery Anderson III,Moussa Cisse,Kalib Boone,Bryce Thompson,Trajan Wesley,Will Douglas,Tekorian Smith,Jeremiah Gambrell,Nikkei Rutty
2022-23,2022-11-27,2500452,1,0,1,Oklahoma State,Prairie View A&M,Cowboys,Panthers,4,4,0,0,0,1559,Oklahoma State,NA,NA,NA,Starting Lineup - Kalib Boone,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,John-Michael Wright,Avery Anderson III,Moussa Cisse,Kalib Boone,Bryce Thompson,Trajan Wesley,Will Douglas,Tekorian Smith,Jeremiah Gambrell,Nikkei Rutty
2022-23,2022-11-27,2500452,1,0,1,Oklahoma State,Prairie View A&M,Cowboys,Panthers,4,4,0,0,0,1559,Oklahoma State,NA,NA,NA,Starting Lineup - Bryce Thompson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,John-Michael Wright,Avery Anderson III,Moussa Cisse,Kalib Boone,Bryce Thompson,Trajan Wesley,Will Douglas,Tekorian Smith,Jeremiah Gambrell,Nikkei Rutty
2022-23,2022-11-27,2500452,2,0,1,Oklahoma State,Prairie View A&M,Cowboys,Panthers,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,Oklahoma State,1,NA,John-Michael Wright,Avery Anderson III,Moussa Cisse,Kalib Boone,Bryce Thompson,Trajan Wesley,Will Douglas,Tekorian Smith,Jeremiah Gambrell,Nikkei Rutty
2022-23,2022-11-27,2500452,3,0,1,Oklahoma State,Prairie View A&M,Cowboys,Panthers,4,4,0,0,0,1559,Oklahoma State,2387,1187,13,Avery Anderson III misses a 3-point jump shot from 26 feet out.,missed,FALSE,TRUE,Jump Shot,45.8,20.849999999999994,1175038,Avery Anderson III,NA,0,Oklahoma State,Oklahoma State,1,NA,John-Michael Wright,Avery Anderson III,Moussa Cisse,Kalib Boone,Bryce Thompson,Trajan Wesley,Will Douglas,Tekorian Smith,Jeremiah Gambrell,Nikkei Rutty
2022-23,2022-11-27,2500452,4,0,1,Oklahoma State,Prairie View A&M,Cowboys,Panthers,4,4,0,0,0,1573,Prairie View A&M,2387,1187,0,Will Douglas with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Oklahoma State,Prairie View A&M,1,NA,John-Michael Wright,Avery Anderson III,Moussa Cisse,Kalib Boone,Bryce Thompson,Trajan Wesley,Will Douglas,Tekorian Smith,Jeremiah Gambrell,Nikkei Rutty
