season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number
2010-11,2010-12-04,998979,1,0,1,Colorado,Oregon State,Buffaloes,Beavers,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,Colorado,NA
2010-11,2010-12-04,998979,15,0,1,Colorado,Oregon State,Buffaloes,Beavers,4,4,2,0,2,1360,Colorado,2386,1186,14, makes a layup.,made,FALSE,FALSE,Layup Shot,25,5.25,458708,NA,NA,0,Colorado,Oregon State,1
2010-11,2010-12-04,998979,16,0,1,Colorado,Oregon State,Buffaloes,Beavers,4,4,2,2,0,1563,Oregon State,2376,1176,10, makes a layup.,made,FALSE,FALSE,Layup Shot,25,5.25,513339,NA,NA,0,Oregon State,Colorado,2
2010-11,2010-12-04,998979,26,0,1,Colorado,Oregon State,Buffaloes,Beavers,4,4,2,4,-2,1563,Oregon State,2316,1116,60, makes a jump shot from 8 feet out.,made,FALSE,FALSE,Jump Shot,31.3,9.85,513338,NA,NA,0,Oregon State,Colorado,3
2010-11,2010-12-04,998979,30,0,1,Colorado,Oregon State,Buffaloes,Beavers,4,4,2,4,-2,1563,Oregon State,2300,1100,16,Personal foul committed by Beavers.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Colorado,Colorado,4
2010-11,2010-12-04,998979,37,0,1,Colorado,Oregon State,Buffaloes,Beavers,4,4,2,4,-2,1360,Colorado,2297,1097,3,Shooting foul committed by Buffaloes.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Oregon State,Oregon State,4
2010-11,2010-12-04,998979,38,0,1,Colorado,Oregon State,Buffaloes,Beavers,4,4,2,5,-3,1563,Oregon State,2297,1097,0, makes free throw 1 of 2.,made,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Oregon State,Oregon State,4
2010-11,2010-12-04,998979,39,0,1,Colorado,Oregon State,Buffaloes,Beavers,4,4,2,6,-4,1563,Oregon State,2297,1097,0, makes free throw 2 of 2.,made,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Oregon State,Colorado,4
2010-11,2010-12-04,998979,42,0,1,Colorado,Oregon State,Buffaloes,Beavers,4,4,2,6,-4,1563,Oregon State,2268,1068,29, misses a 3-point jump shot from 27 feet out.,missed,FALSE,TRUE,Jump Shot,35.2,30.25,553540,NA,NA,0,Oregon State,Colorado,5
2010-11,2010-12-04,998979,55,0,1,Colorado,Oregon State,Buffaloes,Beavers,4,4,5,6,-1,1360,Colorado,2249,1049,19, makes a 3-point jump shot from 25 feet out.,made,FALSE,TRUE,Jump Shot,13.700000000000003,27.150000000000006,512995,NA,NA,0,Colorado,Oregon State,6
