season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number
2010-11,2011-03-17,1047419,1,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,Pittsburgh,NA
2010-11,2011-03-17,1047419,3,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,0,0,0,1570,Pittsburgh,2384,1184,16, misses a layup.,missed,FALSE,FALSE,Layup Shot,26,6.25,402379,NA,NA,0,Pittsburgh,Pittsburgh,1
2010-11,2011-03-17,1047419,4,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,0,0,0,1522,UNC Asheville,2384,1184,0, with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Pittsburgh,UNC Asheville,1
2010-11,2011-03-17,1047419,6,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,0,0,0,1522,UNC Asheville,2371,1171,13, misses a 3-point jump shot from 25 feet out.,missed,FALSE,TRUE,Jump Shot,27.3,30.05,458929,NA,NA,0,UNC Asheville,UNC Asheville,2
2010-11,2011-03-17,1047419,12,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,0,0,0,1522,UNC Asheville,2348,1148,23, misses a jump shot from 13 feet out.,missed,FALSE,FALSE,Jump Shot,37.7,6.95,339489,NA,NA,0,UNC Asheville,UNC Asheville,2
2010-11,2011-03-17,1047419,18,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,0,2,-2,1522,UNC Asheville,2343,1143,5, makes a jump shot from 14 feet out.  with the assist.,made,FALSE,FALSE,Jump Shot,39,6.25,458932,NA,NA,0,UNC Asheville,Pittsburgh,2
2010-11,2011-03-17,1047419,19,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,3,2,1,1570,Pittsburgh,2330,1130,13, makes a 3-point jump shot from 24 feet out.  with the assist.,made,FALSE,TRUE,Jump Shot,11,24.25,462982,NA,NA,0,Pittsburgh,UNC Asheville,3
2010-11,2011-03-17,1047419,22,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,3,2,1,1522,UNC Asheville,2306,1106,24, misses a jump shot from 18 feet out.,missed,FALSE,FALSE,Jump Shot,14.7,19.55,458932,NA,NA,0,UNC Asheville,UNC Asheville,4
2010-11,2011-03-17,1047419,23,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,3,2,1,1570,Pittsburgh,2306,1106,0, with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,UNC Asheville,Pittsburgh,4
2010-11,2011-03-17,1047419,24,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,3,2,1,1570,Pittsburgh,2294,1094,12, misses a layup.,missed,FALSE,FALSE,Layup Shot,26,6.25,402379,NA,NA,0,Pittsburgh,Pittsburgh,5
2010-11,2011-03-17,1047419,25,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,3,2,1,1570,Pittsburgh,2294,1094,0, with an offensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Pittsburgh,Pittsburgh,5
2010-11,2011-03-17,1047419,26,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,3,2,1,1570,Pittsburgh,2285,1085,9, misses a jump shot from 12 feet out.,missed,FALSE,FALSE,Jump Shot,37,7.349999999999994,462982,NA,NA,0,Pittsburgh,Pittsburgh,5
2010-11,2011-03-17,1047419,27,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,3,2,1,1570,Pittsburgh,2285,1085,0, with an offensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Pittsburgh,Pittsburgh,5
2010-11,2011-03-17,1047419,28,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,5,2,3,1570,Pittsburgh,2281,1081,4, makes a tip shot from 3 feet out.,made,FALSE,FALSE,Tip Shot,23,7.75,402379,NA,NA,0,Pittsburgh,UNC Asheville,5
2010-11,2011-03-17,1047419,30,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,5,2,3,1522,UNC Asheville,2269,1069,12, misses a layup.,missed,FALSE,FALSE,Layup Shot,26,6.25,339489,NA,NA,0,UNC Asheville,Pittsburgh,6
2010-11,2011-03-17,1047419,34,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,5,2,3,1522,UNC Asheville,2260,1060,9,Personal foul committed by Bulldogs.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Pittsburgh,Pittsburgh,7
2010-11,2011-03-17,1047419,44,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,5,2,3,1522,UNC Asheville,2249,1049,11,Personal foul committed by Bulldogs.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Pittsburgh,Pittsburgh,7
2010-11,2011-03-17,1047419,46,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,5,2,3,1522,UNC Asheville,2223,1023,26, misses a jump shot from 9 feet out.,missed,FALSE,FALSE,Jump Shot,24.8,13.75,458930,NA,NA,0,UNC Asheville,UNC Asheville,7
2010-11,2011-03-17,1047419,47,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,5,2,3,1522,UNC Asheville,2223,1023,0, with an offensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,UNC Asheville,UNC Asheville,7
2010-11,2011-03-17,1047419,48,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,5,5,0,1522,UNC Asheville,2216,1016,7, makes a 3-point jump shot from 21 feet out.  with the assist.,made,FALSE,TRUE,Jump Shot,45.8,9.65,458930,NA,NA,0,UNC Asheville,Pittsburgh,7
2010-11,2011-03-17,1047419,49,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,5,5,0,1570,Pittsburgh,2195,995,21, misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,25.3,29.450000000000003,330410,NA,NA,0,Pittsburgh,Pittsburgh,8
2010-11,2011-03-17,1047419,50,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,5,5,0,1522,UNC Asheville,2195,995,0, with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Pittsburgh,UNC Asheville,8
2010-11,2011-03-17,1047419,55,1,1,Pittsburgh,UNC Asheville,Panthers,Bulldogs,4,4,5,7,-2,1522,UNC Asheville,2149,949,46, makes a jump shot from 9 feet out.,made,FALSE,FALSE,Jump Shot,24.8,13.75,458930,NA,NA,0,UNC Asheville,Pittsburgh,9
