season,start_time,game_date,game_id,tv,home,away,home_abbr,home_id,home_logo_id,home_name,home_total,home_is_winner,home_ap_ranking,home_record,away_abbr,away_id,away_is_winner,away_logo_id,away_name,away_total,away_record,away_ap_ranking
2023-24,7:00 PM ET,2023-11-06,2595090,NA,Chattanooga,Covenant,Chat,1647,ChattanoogaMocs,Mocs,89,TRUE,NA,1-0,Coven,1366,NA,CovenantScots,Scots,44,0-1,NA
2023-24,9:00 PM ET,2023-11-06,2605379,ESP+,Cincinnati,UIC,Cin,1353,CincinnatiBearcats,Bearcats,69,TRUE,NA,1-0,UIC,1444,NA,UICFlames,Flames,58,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2589799,ESP+,North Carolina State,Citadel,NCSU,1538,NorthCarolinaStateWolfpack,Wolfpack,72,TRUE,NA,1-0,Cit,1368,NA,CitadelBulldogs,Bulldogs,59,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2589764,ESP+,Clemson,Winthrop,Clem,1355,ClemsonTigers,Tigers,78,TRUE,NA,1-0,Win,1699,NA,WinthropEagles,Eagles,56,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2600025,NA,Duquesne,Cleveland State,Duq,1389,DuquesneDukes,Dukes,79,TRUE,NA,1-0,CleSt,1356,NA,ClevelandStateVikings,Vikings,77,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2607212,NA,Coastal Carolina,Piedmont,CoastC,1357,CoastalCarolinaChanticleers,Chanticleers,88,TRUE,NA,1-0,Piedmo,1846,NA,PiedmontLions,Lions,86,0-1,NA
2023-24,7:30 PM ET,2023-11-06,2594121,PACN,Colorado,Towson,Colo,1360,ColoradoBuffaloes,Buffaloes,75,TRUE,NA,1-0,Towson,1659,NA,TowsonTigers,Tigers,57,0-1,NA
2023-24,10:00 PM ET,2023-11-06,2599474,NA,Colorado State,Louisiana Tech,ColoSt,1361,ColoradoStateRams,Rams,81,TRUE,NA,1-0,LaTech,1471,NA,LouisianaTechBulldogs,Bulldogs,73,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2590113,FS1,Providence,Columbia,Prov,1576,ProvidenceFriars,Friars,78,TRUE,NA,1-0,Colum,1362,NA,ColumbiaLions,Lions,59,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2592341,ESP+,Virginia Tech,Coppin State,VaTech,1678,VirginiaTechHokies,Hokies,100,TRUE,NA,1-0,Coppin,1364,NA,CoppinStateEagles,Eagles,55,0-1,NA
2023-24,7:30 PM ET,2023-11-06,2602066,NA,Lehigh,Cornell,Lehigh,1465,LehighMountainHawks,Mountain Hawks,78,NA,NA,0-1,Cor,1365,TRUE,CornellBigRed,Big Red,84,1-0,NA
2023-24,11:00 PM ET,2023-11-06,2603354,NA,Stanford,CSUN,Stan,1627,StanfordCardinal,Cardinal,88,TRUE,NA,1-0,CS-Nr,1545,NA,CSUNMatadors,Matadors,79,0-1,NA
2023-24,9:00 PM ET,2023-11-06,2589775,ACCN,Duke,Dartmouth,Duke,1388,DukeBlueDevils,Blue Devils,92,TRUE,2,1-0,Dart,1377,NA,DartmouthBigGreen,Big Green,54,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2600019,NA,Davidson,Washington & Lee,Dav,1378,DavidsonWildcats,Wildcats,86,TRUE,NA,1-0,Wash&L,1785,NA,WashingtonLeeGenerals,Generals,63,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2589855,ESP+,Dayton,SIUE,Dayton,1379,DaytonFlyers,Flyers,63,TRUE,NA,1-0,SIUE,1968,NA,SIUECougars,Cougars,47,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2602728,NA,Penn State,Delaware State,PSU,1567,PennStateNittanyLions,Nittany Lions,79,TRUE,NA,1-0,DelSt,1381,NA,DelawareStateHornets,Hornets,45,0-1,NA
2023-24,10:30 PM ET,2023-11-06,2587817,NA,UC San Diego,Denver,Cal-SD,1919,UCSanDiegoTritons,Tritons,95,TRUE,NA,1-0,Denver,1382,NA,DenverPioneers,Pioneers,87,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2590261,NA,Toledo,Detroit,Toledo,1658,ToledoRockets,Rockets,94,TRUE,NA,1-0,Det,1384,NA,DetroitTitans,Titans,60,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2589691,ESP+,East Carolina,Ferrum,ECU,1391,EastCarolinaPirates,Pirates,91,TRUE,NA,1-0,Ferrum,1902,NA,FerrumPanthers,Panthers,61,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2606616,NA,East Tennessee State,King,EastTn,1390,EastTennesseeStateBuccaneers,Buccaneers,73,TRUE,NA,1-0,King,1461,NA,KingTornado,Tornado,56,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2592911,B1G+,Illinois,Eastern Illinois,Ill,1443,IllinoisFightingIllini,Fighting Illini,80,TRUE,25,1-0,EastIl,1392,NA,EasternIllinoisPanthers,Panthers,52,0-1,NA
2023-24,9:30 PM ET,2023-11-06,2603546,NA,Utah,Eastern Washington,Utah,1670,UtahRunninUtes,Runnin' Utes,101,TRUE,NA,1-0,EastWa,1395,NA,EasternWashingtonEagles,Eagles,66,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2589827,ESP+,Wake Forest,Elon,Wake,1683,WakeForestDemonDeacons,Demon Deacons,101,TRUE,NA,1-0,Elon,1401,NA,ElonPhoenix,Phoenix,78,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2594097,NA,Evansville,Miami (OH),Evan,1400,EvansvilleAces,Aces,72,TRUE,NA,1-0,Mia-O,1497,NA,MiamiOHRedHawks,RedHawks,64,0-1,NA
2023-24,8:25 PM ET,2023-11-06,2588499,ESP+,UCF,FIU,UCF,1344,UCFKnights,Knights,85,TRUE,NA,1-0,FIU,1409,NA,FIUPanthers,Panthers,62,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2587524,ESP+,Florida,Loyola Maryland,Fla,1407,FloridaGators,Gators,93,TRUE,NA,1-0,Ly-Md,1475,NA,LoyolaMarylandGreyhounds,Greyhounds,73,0-1,NA
